Review_id,Ratings,Dates,Date_Category,Heads,Texts,Flavor,Sweet,Lasting
1,1.0,25 days,Less than 2 months,Nic5,This one dies so fast all the time but I loveeee the flavor,5.0,5.0,2.0
2,5.0,1 month,Less than 2 months,Good flavor,"Easy to use, good flavor",5.0,5.0,5.0
3,5.0,1 month,Less than 2 months,Great,GREAT,5.0,5.0,5.0
4,2.0,2 months,Less than 2 months,Not a favorite,Strange flavor,2.0,1.0,1.0
5,5.0,2 months,Less than 2 months,a great flavor from nic5,overall one of my favorite flavors,5.0,3.0,3.0
6,5.0,2 months,Less than 2 months,snowboarding go to,one of my favorites to hit in the cold,4.0,3.0,3.0
7,2.0,2 months,Less than 2 months,Its ok,Didn't last long,2.0,5.0,1.0
8,4.0,3 months,3 months to 5 months ago,not bad,good flavor,4.0,4.0,4.0
9,4.0,3 months,3 months to 5 months ago,good product,decent device not the best not bad,4.0,4.0,4.0
10,3.0,3 months,3 months to 5 months ago,Lychee,I got lychee flavored but other brand has more real flavor!,4.0,4.0,3.0
11,5.0,3 months,3 months to 5 months ago,Works great,Great,5.0,5.0,5.0
12,5.0,3 months,3 months to 5 months ago,Great flavors,"I really like the Nic5 Vapor Opus, the flavor lasted a long time . I will definitely buy again!",5.0,4.0,4.0
13,4.0,3 months,3 months to 5 months ago,Good,Good flavor lasts long,4.0,5.0,4.0
14,3.0,4 months,3 months to 5 months ago,Fake sugar,"The mint flavor is just okay, tastes like fake sugar. Make sure you brush your teeth after using it",3.0,5.0,4.0
15,5.0,4 months,3 months to 5 months ago,Yummy,It does not last as long like the Flum,5.0,5.0,3.0
16,3.0,4 months,3 months to 5 months ago,"Good, not great.","Great flavor, hits smooth, but really short lifespan. The Ice Mint was really tasty",5.0,3.0,3.0
17,1.0,5 months,5 months to 1 year ago,Meh,"Really weak, doesn’t last long. Flavor is not as good",2.0,1.0,1.0
18,5.0,5 months,5 months to 1 year ago,Aloe mango,Only vapes I’ll smoke. Chefs kiss 🙄,,,
19,5.0,6 months,5 months to 1 year ago,Love this!,"Lasted a while for me, convient and good flavor! Will buy more!",,,
20,5.0,6 months,5 months to 1 year ago,flavour on point,but does not last long,,,
21,5.0,6 months,5 months to 1 year ago,The reason I stopped smoking!,"I have been a smoker for 20+ years. I have tried many different vape types and flavors over the years, but never cared for any of them. Earlier this year, my son brought home one of the Opus Ice Mint vapes. I was hooked.
It didn’t happen overnight, but my cigarette smoking started decreasing until I have now kicked the habit for good.
I only like the Ice Mint flavor. I have tried the other Opus flavors and have not cared for them. I’m sure it is because I was a menthol smoker.
Anyways, long story short, I am thankful for these.",,,
22,5.0,6 months,5 months to 1 year ago,Like it,Smooth flavor great,,,
23,3.0,6 months,5 months to 1 year ago,Meh,Maybe it’s the flavor but I’m not a fan.,,,
24,5.0,7 months,5 months to 1 year ago,Nic 5 ❤️,Love this brand. Bold flavors,,,
