Review_id,Ratings,Dates,Date_Category,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,1 day,Less than 2 months,Blue razz ice,"It tasted funny , the cool mint was better",5.0,5.0,1.0
2,1.0,5 days,Less than 2 months,Doesn't last long,"It had the coffee flavor for about 2 days, I'm not even a heavy vaper. Then the taste started to fade away, after a week it have a bitter aftertaste.",3.0,2.0,1.0
3,5.0,8 days,Less than 2 months,Awesome!,really like the flavour of this vape. It really does taste like strawberries and cream. Will definitely buy again.,5.0,5.0,5.0
4,5.0,13 days,Less than 2 months,Great service,Giving 5 stars for huff and puffers great service. I didnt particularly like this flavor but appreciate you guys,3.0,3.0,3.0
5,5.0,13 days,Less than 2 months,Different flavor but good,Not sure the flavor but great taste and longevity,5.0,4.0,5.0
6,5.0,13 days,Less than 2 months,Great,Love it !!!!,5.0,5.0,5.0
7,5.0,18 days,Less than 2 months,Fog X is bomb,This vape is awesome..super icy flavors and you can charge it to make sure you got all the juice you pay for!,5.0,5.0,5.0
8,5.0,19 days,Less than 2 months,Vietnames Coffee!,Yummy! Love it! Hits smoothly and sweetly,5.0,4.0,5.0
9,3.0,19 days,Less than 2 months,Mint,"Not the best mint i’ve tried, but one of the better ones in terms of being truly mint-tasting.",4.0,1.0,4.0
10,4.0,19 days,Less than 2 months,Best Disposable,This is the best disposable out there. The only thing I would improve would be to add a liquid level indicator.,5.0,4.0,3.0
11,4.0,26 days,Less than 2 months,Not my preference,I didn't like the taste but that's just me,3.0,3.0,3.0
12,4.0,28 days,Less than 2 months,Recommend,Good flavor and battery life,4.0,3.0,4.0
13,5.0,1 month,Less than 2 months,Great flavor,Another great flavor and device,5.0,5.0,5.0
14,5.0,1 month,Less than 2 months,Recommended!,Good product. Impressed with the company as well.,5.0,5.0,4.0
15,5.0,1 month,Less than 2 months,Vietnamese coffee,Vietnamese coffeeeeee it just works and is so good!,5.0,5.0,4.0
16,1.0,1 month,Less than 2 months,Didn't like,"I've purchased several different brands, this is one I won't be buying again. Flavors aren't really strong. Battery died fast",1.0,1.0,3.0
17,3.0,1 month,Less than 2 months,Alright,Flavor not so great,3.0,2.0,3.0
18,4.0,1 month,Less than 2 months,Good,Good. Hit the spot,3.0,4.0,4.0
19,1.0,2 months,Less than 2 months,No flavor,Dont like it,2.0,2.0,3.0
20,4.0,2 months,Less than 2 months,Cola Ice,"The flavor was a little weird, not much ice. But besides that, everything else was fine~",3.0,4.0,5.0
21,5.0,2 months,Less than 2 months,Great product,"Very good in flavor and sweetness, so far so good.",5.0,3.0,4.0
