Review_id,Ratings,Dates,Date_Category,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,14 days,Less than 2 months,bomb.com,taste great! last a long time,5.0,5.0,5.0
2,5.0,17 days,Less than 2 months,Steam engine,Tastes good,5.0,5.0,5.0
3,5.0,18 days,Less than 2 months,Great taste,Box is a great design,5.0,5.0,5.0
4,3.0,1 month,Less than 2 months,Interesting design,"Good flavor, box felt a bit cheap but the battery lasted until it started to leak.",4.0,4.0,3.0
5,5.0,2 months,Less than 2 months,These things look ridiculous and I love them,"I got these because they reminded me of the 90's, like a tomagotchi with a buzz, and they basically deliver on that. Good flavors, good pull, and absolutely hilarious.",5.0,3.0,5.0
6,5.0,3 months,3 months to 5 months ago,solid device,great flavor,5.0,4.0,5.0
7,5.0,3 months,3 months to 5 months ago,Cool form factor and great taste,"I think this is my favorite at the moment. it looks cool and people always ask about it. The flavor matches the ""coolness"" I got the strawberry and the flavor is great. not too sweet but robust! It has lasted me the longest out of all the ones I have gotten so far. I will be getting more of these and trying out other flavors.",5.0,3.0,5.0
8,5.0,3 months,3 months to 5 months ago,love it,good flavor,5.0,3.0,5.0
9,5.0,3 months,3 months to 5 months ago,Nunu box,"Thought ide try this one out, was not disappointed great flavor and last a while. Will be buying this again.",5.0,3.0,5.0
10,5.0,3 months,3 months to 5 months ago,Great,I love the look of these flavor great also,5.0,4.0,5.0
11,5.0,3 months,3 months to 5 months ago,GET THIS,"Love the airflow (it’s also adjustable), flavors are on point, and the design is so sick. Really like the mouthpiece in these and it lasts for a long time. Nunu box and Lost Mary vapes are on par and way better than elf bars and flums.",5.0,5.0,5.0
12,5.0,3 months,3 months to 5 months ago,Nunu,Great taste good smoke,5.0,5.0,5.0
13,5.0,4 months,3 months to 5 months ago,Dope,"I haven’t had the icy mint in a while and when I saw it on buffers and puffers I knew I had to grab it. Taste fire , lasted me about 5 days, only had to recharge once. Definitely a go to vape if you enjoy mint.",5.0,4.0,5.0
14,5.0,4 months,3 months to 5 months ago,Excellent,This vape is super! Great taste and excellent device...,5.0,4.0,5.0
15,5.0,4 months,3 months to 5 months ago,Steam Engine Nanu Box Energy,The flavor was really good and I really liked the way it looks. It seems to be lasting much longer than other disposable vapes I've tried.,5.0,4.0,5.0
16,5.0,4 months,3 months to 5 months ago,Strawberry banana ice,Found the lights to be a bit irritating but flavor is good,5.0,5.0,5.0
17,4.0,4 months,3 months to 5 months ago,Nunubox,Last long but not the best flavor,3.0,3.0,4.0
18,3.0,4 months,3 months to 5 months ago,Was pretty good but probably would not order again,Was pretty good but probably would not order again,3.0,3.0,3.0
19,3.0,4 months,3 months to 5 months ago,Nunu Box,Last long but taste kinda weird.,2.0,2.0,4.0
20,5.0,4 months,3 months to 5 months ago,Great,Has a great flavor and lasts really long,5.0,5.0,5.0
21,5.0,4 months,3 months to 5 months ago,Long lasting!,Great tasting and it lasts pretty long!!,5.0,5.0,5.0
22,5.0,5 months,5 months to 1 year ago,Long Lasting,Love it,5.0,5.0,5.0
23,5.0,5 months,5 months to 1 year ago,"Accurate taste, Goes on forever","This brand has very accurate flavor taste! No weird chemical taste or funky fake taste. everyone I’ve let puff in the strawberry, fall in love with it. additionally this vape lasts longer than any vape I’ve tried. I’ve had about 6 of the top brands so far and their one keeps going. It’s comfortable to draw and the charge lasts well.
love the customer service of huff puffers these guys are truly outstanding, very accommodating and not greedy. I live a place that does not nickeled and dime you! Finally their rewards program is legit. It’s not like those that hey you nowhere; their program actually makes my vapes cheaper. I I was not given anything to write this. I’m just a customer that’s totally impressed with how this place is run and I love NUNU Box. Thanks guys! Sabrina",5.0,5.0,5.0
24,5.0,5 months,5 months to 1 year ago,Good flavor,Good flavor but if you vape like me...hard-core it lasted 3days haha. Better then most not better than flum pebbles or elf bar IMO,3.0,3.0,3.0
25,5.0,5 months,5 months to 1 year ago,Awesome,Love the flavor,5.0,5.0,5.0
26,5.0,5 months,5 months to 1 year ago,Amazing,"Great flavor, long lasting",5.0,5.0,5.0
27,3.0,5 months,5 months to 1 year ago,A little to sweet,"The flavor is a little to sweet for my taste, but it was great as far as how long the device lasted",3.0,5.0,5.0
28,5.0,5 months,5 months to 1 year ago,High Tech Vape,"I love the high tech look of the Nunu Box ... long lasting with 6000 puffs. I've only tried the Pina Colada, but I love the flavor.",5.0,3.0,5.0
