Review_id,Ratings,Dates,Date_Category,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,3 hours,Less than 2 months,King,Worked great,4.0,4.0,4.0
2,5.0,18 hours,Less than 2 months,Cape,Great taste,5.0,4.0,4.0
3,5.0,21 hours,Less than 2 months,It was great,I liked this one. Nice flavor and was very smooth!,5.0,5.0,5.0
4,4.0,4 days,Less than 2 months,Amazing,Tastes just like the candy!,5.0,4.0,4.0
5,4.0,5 days,Less than 2 months,👍,Decent,4.0,4.0,5.0
6,4.0,6 days,Less than 2 months,Review for Candy King Air Disposable,"Great flavor and nicotine mix, but it sure as heck didn't last for 6000 puffs!",4.0,4.0,2.0
7,5.0,7 days,Less than 2 months,Love em 🤙🏽,Full of Flavor and long lasting,5.0,5.0,5.0
8,1.0,8 days,Less than 2 months,Taste less,I didn't like it the flavor lasted one day then started to taste burned,2.0,2.0,1.0
9,4.0,8 days,Less than 2 months,Good,Serviceable vape. Very sweet. A bit rough on the throat hit. One of the best I've tried but I like the elf aero and ultra and the ohmlettes a bit better because of their coils. Will probably buy more though for flavor variety.,5.0,5.0,4.0
10,5.0,13 days,Less than 2 months,Long-lasting,Smooth and tasty,5.0,5.0,5.0
11,5.0,13 days,Less than 2 months,Really good,I really like the gummy bear but this one is really good too!,5.0,5.0,5.0
12,5.0,13 days,Less than 2 months,Really good,I really like the pink squares!,5.0,5.0,5.0
13,5.0,13 days,Less than 2 months,My fav,My new fav,5.0,5.0,5.0
14,5.0,14 days,Less than 2 months,Amazing Vape,Great taste and a very smooth hit! Definitely worth the purchase,5.0,3.0,5.0
15,5.0,14 days,Less than 2 months,Awesome,I love it something different,5.0,5.0,5.0
16,5.0,18 days,Less than 2 months,First time,This one is stronger than others I have tried in the past. Great flavor though.,5.0,5.0,5.0
17,4.0,19 days,Less than 2 months,Thumbs up,Like the flavor,4.0,5.0,4.0
18,5.0,19 days,Less than 2 months,This,It was very yummy,5.0,5.0,5.0
19,5.0,20 days,Less than 2 months,Excellent flavor but doesn't hold well to charging,Peach Rings literally tastes like peach rings!!! Really enjoyed it while it lasted but flavor changed after charging 2x and had to toss. Still 5 stars though because the flavor is too good and the concept is really fun.,4.0,5.0,4.0
20,5.0,21 days,Less than 2 months,Green Apple,I switched to this after 35 yrs of smoking. Awesome!,4.0,3.0,5.0
21,5.0,24 days,Less than 2 months,Amazing,"Great flavor and lasted without a drop
In the taste or flavor",4.0,3.0,5.0
22,2.0,25 days,Less than 2 months,Charging,Runs out of charge and starts to taste stale,3.0,3.0,3.0
23,5.0,26 days,Less than 2 months,Strawberry watermelon bubblegum,Great flavor. First time trying this brand and I’m pleased with it,5.0,3.0,5.0
24,5.0,27 days,Less than 2 months,Amazing,Delicious,5.0,5.0,5.0
25,5.0,28 days,Less than 2 months,Really good,Great flavour! Charge lasts for quite a long time,5.0,5.0,5.0
26,4.0,29 days,Less than 2 months,Gummy Worms,"I got the flavor Gummy Worms. It’s pretty good, maybe a little bit too sweet for me. Still good nonetheless.",5.0,5.0,5.0
27,5.0,1 month,Less than 2 months,Its good,It has the right amount of flavor without being too overwhelming. It charges quick & lasts a pretty long time,4.0,2.0,5.0
28,5.0,1 month,Less than 2 months,Strong,"Great flavor, super sweet and sour. Only dislike is that it almost burns my throat, making me unable to hit the vape twice in a row",4.0,5.0,5.0
29,5.0,1 month,Less than 2 months,Amazing product!,Smokes really nice and has a great flavor.,5.0,5.0,5.0
30,5.0,1 month,Less than 2 months,One of my favorites.,First time trying this brand. Pretty sweet.,5.0,5.0,5.0
31,5.0,1 month,Less than 2 months,Best ever,Doesn’t leave that aftertaste in your mouth. It’s sweet it’s good I even ordered a second time of six different flavors waiting on that shipment.,5.0,5.0,5.0
32,5.0,1 month,Less than 2 months,Vape,Flavor is really taste.,5.0,5.0,5.0
33,5.0,1 month,Less than 2 months,Great,Lasts long and great flavor,5.0,5.0,5.0
34,2.0,1 month,Less than 2 months,Not as good,I like other brands a lot betterp,2.0,2.0,2.0
35,5.0,2 months,Less than 2 months,The best,"Compact design and long lasting, very good flavor",5.0,4.0,5.0
36,5.0,2 months,Less than 2 months,Good!,Good!,4.0,4.0,4.0
37,5.0,2 months,Less than 2 months,Great,Tasty,5.0,5.0,5.0
38,5.0,2 months,Less than 2 months,Will never go back to cigarettes,Love them!!! I do not smell like cigarettes!!,5.0,5.0,5.0
39,5.0,2 months,Less than 2 months,Good flavor,Good flavor and last long,5.0,5.0,5.0
40,5.0,2 months,Less than 2 months,Good flavor,One of the best I've tried.,5.0,4.0,4.0
41,4.0,2 months,Less than 2 months,Does the trick,"Ordered in 3 flavors, Mint Fresh, Peach Rings, and Pink Squares. The mint is standard mint, it is great. The candy flavors are decent but I not the best that I have had.",3.0,4.0,4.0
42,5.0,2 months,Less than 2 months,Love it,Taste is so addicting. I love it!,5.0,5.0,5.0
43,5.0,2 months,Less than 2 months,Great,Great,5.0,4.0,5.0
44,4.0,2 months,Less than 2 months,Good variety,"Candy King has a good variety of flavors. The vapes last all day before needing a recharge, and I am a fairly heavy vaper.",4.0,5.0,5.0
45,4.0,2 months,Less than 2 months,review,it’s good.,3.0,3.0,3.0
46,4.0,2 months,Less than 2 months,Good flavor,Good flavor and consistent puffs. Long lasting,4.0,3.0,4.0
47,5.0,2 months,Less than 2 months,"Look, feel, flavor all great","One of my favorite vapes I've tried, definitely recommend.",5.0,3.0,4.0
48,4.0,3 months,3 months to 5 months ago,Strawberry rolls,It was good but for only a week,4.0,4.0,2.0
49,5.0,3 months,3 months to 5 months ago,Blueberry,Good flavor,5.0,5.0,5.0
50,5.0,3 months,3 months to 5 months ago,Mint,"My husband loves this flavor. He's converting from smoking cigarettes, the mint seems to help.",5.0,3.0,5.0
51,5.0,3 months,3 months to 5 months ago,Amazing flavor,Amazing flavor,5.0,5.0,5.0
