Review_id,Ratings,Dates,Date_Category,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,4 hours,Less than 2 months,Yay,I’m so glad they made it rechargeable. My friends love hitting this vape when I have it.,5.0,5.0,5.0
2,5.0,11 hours,Less than 2 months,Love it,It is best,4.0,4.0,5.0
3,5.0,3 days,Less than 2 months,Best Flavor,very refreshing and long-lasting,5.0,5.0,5.0
4,5.0,4 days,Less than 2 months,Fantastic!,Great disposable device. Smooth hits and lasts forever!,5.0,4.0,5.0
5,5.0,6 days,Less than 2 months,Icy mint,Great flavor and shipping was really fast. Highly recommended.,5.0,2.0,4.0
6,5.0,6 days,Less than 2 months,Yes.,"This vape is so good I got the grape and love it. It does not make you want to gag.
It is smooth going down another I will be ordering again.",5.0,5.0,5.0
7,5.0,6 days,Less than 2 months,Icy mint lucid,Good mix with almost everything. Very smooth,5.0,1.0,5.0
8,5.0,6 days,Less than 2 months,Vapes,Best vapes I've ordered,5.0,5.0,5.0
9,5.0,9 days,Less than 2 months,Really good menthol vape,It’s menthol vaping done right.,5.0,1.0,5.0
10,5.0,9 days,Less than 2 months,Happy with this product,Very good!,5.0,4.0,4.0
11,5.0,12 days,Less than 2 months,Lucid Air Icy Mint,I've smoked various things for years but this one is THE BEST!,5.0,5.0,5.0
12,5.0,13 days,Less than 2 months,Awesome flavor!!,Great and fast delivery!,5.0,5.0,5.0
13,5.0,13 days,Less than 2 months,Love it,"Great taste, long lasting & great price",5.0,5.0,5.0
14,5.0,14 days,Less than 2 months,Love the taste,I wish this was a little less sweet but it is definitely better than other mints I’ve tried. The others taste like candy which is not what I’m looking for. This one does the job.,5.0,4.0,5.0
15,5.0,17 days,Less than 2 months,Very good,"Consistent flavor, whatever I pick to try.",5.0,4.0,5.0
16,5.0,17 days,Less than 2 months,Awesome Stuff!!,My favorite flavor! Love Huff & Puffers!,5.0,5.0,5.0
17,5.0,17 days,Less than 2 months,Surprisingly nice,Has no nic but I enjoyed it,4.0,4.0,4.0
18,5.0,18 days,Less than 2 months,Best vape ever!,So relaxing but not sickening.,5.0,5.0,5.0
19,5.0,19 days,Less than 2 months,Great taste long lasting.,One of the few disposables I’ve found that are long lasting and have a great taste.,5.0,5.0,5.0
20,5.0,19 days,Less than 2 months,Love it,So good try out the flavors,5.0,5.0,5.0
21,5.0,19 days,Less than 2 months,Good,Love almost all the flavors taste delicious,5.0,5.0,5.0
22,5.0,19 days,Less than 2 months,Great,My favorite brand,5.0,5.0,5.0
23,5.0,19 days,Less than 2 months,Good,Long lasting taste like 🍬,5.0,5.0,5.0
24,5.0,19 days,Less than 2 months,Lucid Air Nicotine,Happy with my order,4.0,4.0,4.0
25,3.0,20 days,Less than 2 months,Tastes great but flow is not to my liking,"The banana ice tastes just like how I would expect it to - like a refreshing and cold banana dessert. No problems at all with flavor or how long it lasts, but I didn't like the airflow. It feels like I have to ""drag"" much harder than with other products, and I had to stop using it before it was finished because the process of dragging was actually giving me stomach pain.",5.0,5.0,5.0
26,5.0,21 days,Less than 2 months,Boss,Good,4.0,4.0,4.0
27,5.0,21 days,Less than 2 months,Rainbow Sherbet,Great quality I have bought 8 and I only received 1 defective one but it’s better compared to other stores.,5.0,4.0,3.0
28,5.0,21 days,Less than 2 months,Yummy!!,Super yummy the whole time!,5.0,5.0,5.0
29,4.0,25 days,Less than 2 months,Grape 🍇,Grape 🍇 is good too. Easy to charge and not too sweet vape,4.0,3.0,5.0
30,3.0,25 days,Less than 2 months,Grape Aloe Ice,"Nice flavor at first. Sweet, but not a lot of menthol. Flavor didn't last long, and neither did the vape. The Icy Mint flavor is a 100 times better than this flavor.",3.0,3.0,3.0
31,5.0,25 days,Less than 2 months,Love it,"Perfect flavor if you like a bit sweet and minty. 5,000 puffs usually last me 5 days and I puff a lot lol",5.0,3.0,5.0
32,5.0,26 days,Less than 2 months,A++,A++,5.0,5.0,5.0
33,5.0,26 days,Less than 2 months,Great flavor!,This one tastes great!,5.0,4.0,5.0
34,1.0,28 days,Less than 2 months,Not Satisfied,"Not what I expected, lacks in flavor and menthol. I bought two so I’m not sure what to do with the other.",1.0,1.0,3.0
35,5.0,28 days,Less than 2 months,These are great,Glad I found your website easy order and quick shipping!!!,5.0,4.0,4.0
36,5.0,28 days,Less than 2 months,👍👍,"I thought it was rechargeable. But, it did well.
I would again.",5.0,5.0,4.0
37,5.0,1 month,Less than 2 months,Review of Lucid Air products,"This is an excellent product, long lasting, great flavor, really like Lucid Air! My favorite are Apple and Grape.",5.0,5.0,5.0
38,5.0,1 month,Less than 2 months,So flavorful!,Fav!,5.0,5.0,5.0
39,1.0,1 month,Less than 2 months,Not a fan,Air flow is too resistant flavor is mid..,2.0,2.0,2.0
40,5.0,1 month,Less than 2 months,Love it.,"Great flavor vape, one of my favorites.",5.0,5.0,5.0
41,3.0,1 month,Less than 2 months,Thin smoke,Doesn't hit the same as a fresh elf bar. But very minty. The battery dies quickly. I'd say this is like a weaker daze bar.,4.0,4.0,3.0
42,5.0,1 month,Less than 2 months,Lucid Vale,I enjoyed it.,5.0,5.0,5.0
43,3.0,1 month,Less than 2 months,Alright,"Okay flavor, didn’t last very long.",2.0,2.0,2.0
44,5.0,1 month,Less than 2 months,Good,Good smooth taste,4.0,3.0,4.0
45,5.0,1 month,Less than 2 months,Long lasting,Enjoyable and long lasting..will purchase again,5.0,3.0,5.0
46,5.0,1 month,Less than 2 months,Lucid Air Disposable - Icy Mint,One of my favorites! Long lasting & great mint flavor!! I love this brand!,5.0,2.0,5.0
47,5.0,2 months,Less than 2 months,Flavor,Long lasting flavor. My go to mint vape.,5.0,5.0,5.0
48,5.0,2 months,Less than 2 months,Best on the market,"California just banned the sales of flavored vapes in smoke shops but huff and puffers have a great wide variety of selections with fast shipping . Will be offing again very soon
.",5.0,4.0,5.0
49,5.0,2 months,Less than 2 months,Rainbow sherbet flavor,This flavor never gets old! Huffs and puffs has been amazing with fast shipping and great customer service 🥰,5.0,4.0,5.0
50,4.0,2 months,Less than 2 months,Lucid,Flavors were ok got the sherbert flavor one.,3.0,3.0,3.0
51,5.0,2 months,Less than 2 months,One of my favs,I think they would last longer with rechargeable batteries but the hit is stronger than most.,5.0,5.0,4.0
52,5.0,2 months,Less than 2 months,Amazing quality,I got the banana ice it’s my favorite,4.0,4.0,3.0
53,4.0,2 months,Less than 2 months,Not too bad,"At first I wasn't too sure about this one because I thought there was a bit of an after taste. After a few hits, though I didn't notice it and did enjoy it.",4.0,3.0,4.0
54,5.0,2 months,Less than 2 months,Lucid air,I like lucid air + because it lasts long and icy mint tastes great,5.0,3.0,4.0
55,4.0,2 months,Less than 2 months,Lucid Air,"Flavor used to be better, it now seems muted",3.0,4.0,4.0
56,5.0,2 months,Less than 2 months,LOVE,Lasted me such a long time!,5.0,3.0,5.0
57,2.0,2 months,Less than 2 months,Did not care for,I was disappointed with flavor and quality,2.0,1.0,1.0
58,5.0,2 months,Less than 2 months,Watermelon ice,Excellent,5.0,5.0,5.0
59,5.0,2 months,Less than 2 months,Lucid air,My favorite vape,5.0,5.0,5.0
60,5.0,2 months,Less than 2 months,Best prices and taste,"I tried just about all the flavors and found they I prefer the mint ice the most, but all are good to me. Lucid Air is a must to try. Also, I buy the rechargeable kind and last up to 3 weeks per pod",5.0,5.0,5.0
61,3.0,2 months,Less than 2 months,Its Ok,"Its an ok vape, I have to admit though I got used to the charging ones. With these kind...when they run out they are done. Flavor was fine, other than that, just like all the others.",4.0,4.0,3.0
62,5.0,2 months,Less than 2 months,All around good,"Lasts long, tastes great, and is dessert worthy",5.0,5.0,5.0
63,5.0,2 months,Less than 2 months,always great flavors,These vapes have always tasted amazing . Just wish they lasted longer !,5.0,3.0,3.0
64,3.0,2 months,Less than 2 months,Icy Mint,"Not bad on flavor, would prefer more puffs out of this one.",3.0,3.0,3.0
65,5.0,2 months,Less than 2 months,Nice update,"Nice update on the product which makes me stop vaping while charging, i feel safe with that feature",5.0,5.0,5.0
66,5.0,3 months,3 months to 5 months ago,Great taste,"I live this vape. It's the only one I would order. The only reason y I gave it a 4 star for long lasting is bc after couple of my vapes ran out of battery when I charge it for 5 mins and I vape it, it has a burnt taste. Had to throw out even though I had only opened it for a week. Other than that everything else is great.",5.0,5.0,4.0
67,4.0,3 months,3 months to 5 months ago,meh,good flavor but didnt stand out,4.0,4.0,3.0
68,3.0,3 months,3 months to 5 months ago,unmemorable,very meh to me,3.0,5.0,3.0
69,5.0,3 months,3 months to 5 months ago,Great product,Love this product. Wish it lasted longer,5.0,5.0,1.0
70,5.0,3 months,3 months to 5 months ago,Watermelon.apple but aloe grape is my favorite,I love this vape .the flavor last until the end. .I have bought many times and will continue,5.0,4.0,5.0
71,2.0,3 months,3 months to 5 months ago,Not rechargeable,It was ok for a couple weeks but non rechargeable,3.0,2.0,3.0
72,5.0,3 months,3 months to 5 months ago,Great,Great flavor long lasting,5.0,5.0,5.0
73,5.0,3 months,3 months to 5 months ago,Mint,"Mint always has the most consistent flavor, go to for sure.",5.0,4.0,5.0
74,5.0,3 months,3 months to 5 months ago,Perfect Pen,It lasts as long as it says. It tastes as good as it promises. It is the best deal for my $.,5.0,5.0,5.0
75,5.0,3 months,3 months to 5 months ago,Strong,"Harsh at first, a little overwhelming really, but it always hurts the first time right? After that initial stage its pure mint bliss, not sweet. Just listerine mint",5.0,1.0,4.0
76,5.0,3 months,3 months to 5 months ago,My favorite,Sometimes u get a dud but refund is on point,5.0,4.0,2.0
77,3.0,3 months,3 months to 5 months ago,Its OK,Just OK,4.0,4.0,4.0
78,5.0,3 months,3 months to 5 months ago,Great price super fast shipping,Awesomeness thru and thru,5.0,5.0,5.0
79,5.0,3 months,3 months to 5 months ago,Smooth favor,I was already using these vapes for awhile. They recently switched to rechargeable and that has made all the difference. Completely recommend this brand.,4.0,3.0,5.0
80,5.0,3 months,3 months to 5 months ago,Grape aloe,It has a great smooth long lasting taste,5.0,5.0,4.0
81,5.0,3 months,3 months to 5 months ago,Dont discontinue good product,Good product,5.0,3.0,3.0
82,3.0,3 months,3 months to 5 months ago,Not a big fan,"Not much flavor, can’t recharge it and battery only lasted 2 days. So not a fan of this brand.",3.0,3.0,2.0
83,5.0,3 months,3 months to 5 months ago,Lucid air,I love the flavors.. shipped pretty quickly.,5.0,4.0,4.0
84,4.0,3 months,3 months to 5 months ago,It does the job,Great back up to your favorite vape,3.0,2.0,3.0
85,5.0,3 months,3 months to 5 months ago,Favorite Vape!,"Mint is my go to flavor, icy mint is great. The rechargeable device is also great for maximizing the usage, can use these until the coil gets burnt out.",5.0,5.0,5.0
86,2.0,3 months,3 months to 5 months ago,Lucid,It was ok,2.0,2.0,2.0
