Review_id,Ratings,Dates,Date_Category,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,2 hours,Less than 2 months,Love these,These are our new favorite brand- great flavors all around,5.0,5.0,5.0
2,5.0,4 hours,Less than 2 months,LOST MARY MO5000 DISPOSIVLE VAPE 5% NICOTINE,It was great!!,5.0,5.0,5.0
3,5.0,5 hours,Less than 2 months,Good flavors,Good flavors and nice design and shape.,5.0,5.0,5.0
4,4.0,18 hours,Less than 2 months,Great vape,Long lasting,4.0,4.0,4.0
5,4.0,1 day,Less than 2 months,Very long lasting,"flavor is okay, very long lasting tho",4.0,3.0,5.0
6,5.0,3 days,Less than 2 months,Amazing!,Just as good as Lost Mary's other product. True flavors and great vapor. Recharges well. Best flavor is grape jelly.,5.0,5.0,5.0
7,5.0,3 days,Less than 2 months,Will buy again,Surprisingly nice flavor and is re-chargeable...I like it alot,5.0,3.0,5.0
8,5.0,4 days,Less than 2 months,Fire,So fire,5.0,5.0,5.0
9,4.0,4 days,Less than 2 months,Good,"Not too sweet. The lemon threw me off at first, but I like it.",4.0,3.0,4.0
10,5.0,4 days,Less than 2 months,Amazing,Great astounding flavor and extremely long lasting.,5.0,5.0,5.0
11,5.0,4 days,Less than 2 months,One of my most favorite vapes,Great flavors that last and so many hits,5.0,3.0,5.0
12,5.0,4 days,Less than 2 months,Perfect vape,Love the flavor and it lasts a long time. Sweetness is on point - not super sweet. I've tried the citrus and this one. Both are great. New favorites.,5.0,4.0,5.0
13,5.0,5 days,Less than 2 months,Good,Good flavor,5.0,5.0,5.0
14,3.0,6 days,Less than 2 months,Yummy,It’s ok nice cool flavor,3.0,5.0,5.0
15,5.0,6 days,Less than 2 months,Great flavor,"Great, long lasting flavor. Hits very smooth",5.0,4.0,5.0
16,5.0,7 days,Less than 2 months,Lemon sparkling wine,"Consistent with the other lost mary bars i’ve tried, like the different shape",5.0,5.0,5.0
17,5.0,7 days,Less than 2 months,Awesome flavor!,Loved this vape!,5.0,4.0,5.0
18,5.0,7 days,Less than 2 months,Love this flavor!!,"Loved this new flavor! Tastes like a sweet apple, but not tooooo sweet!",5.0,4.0,5.0
