Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,New favorite,Enjoying the hyppe max air compared to the hyppe max supremes,5.0,5.0,5.0
2,5.0,Nice,Nice,5.0,5.0,5.0
3,4.0,ok,not bad juice kinda of gets in your mouth,4.0,4.0,4.0
4,5.0,Hyppe Max Air,Very great !,5.0,5.0,5.0
5,5.0,Mighty Mint,I really like it !!it is my favorite all time vape,5.0,3.0,5.0
6,4.0,Love new size,My favorite flavor in a bigger size is awesome,5.0,4.0,4.0
7,5.0,Very good product,Long lasting great taste,5.0,5.0,5.0
8,4.0,Good flavor,"Flavor was good, didnt last as long for me compared to other disposables",5.0,5.0,3.0
9,4.0,Too sweet,Too sweet,3.0,5.0,5.0
10,5.0,I like it.,I like this vale as it lasts a long time.,5.0,3.0,5.0
11,5.0,Long Lasting,I’ll definitely purchase it again,5.0,4.0,5.0
12,5.0,really good,even good on the second charge,5.0,5.0,4.0
13,5.0,Value,Cape,3.0,3.0,4.0
14,5.0,Hype max,Long lasting,5.0,4.0,5.0
15,5.0,Great flavor,Comfortable mouthpiece. I like how it fits in my hand. Great taste and powerful hits.,5.0,4.0,4.0
16,5.0,Love this store,Received super fast and they are legit!,5.0,5.0,5.0
17,5.0,Good flavor,Lasts a long time,5.0,5.0,5.0
18,4.0,Recommend,Good flavor!,4.0,4.0,4.0
19,4.0,Best part,The best part is the lanyard,4.0,5.0,3.0
20,5.0,Great,Nice flavor,5.0,2.0,5.0
21,4.0,nice vape,I bought mighty menthol. Good flavor. Comes with a lanyard which is great. Lasts me about a 5 or 6 days.,4.0,2.0,3.0
22,5.0,Mighty mint,Love these,5.0,5.0,5.0
23,4.0,"Great taste, stopped charging",It was great! I got mostly through it before it stopped charging unless I held it a certain way! ( I did try multiple chargers.) No problem otherwise! 10/10,5.0,5.0,5.0
24,4.0,Solid!,Good taste. Rechargeable. You know when it goes out when the taste gets pretty light.,5.0,4.0,4.0
25,4.0,Yummmm,Great flavor,5.0,4.0,4.0
26,4.0,Good draw,Have used this device 6- or so times. The most recent purchase began self-firing and got quite warm when charging. Maybe a dud. Good mint flavor.,5.0,4.0,4.0
27,5.0,Mango 🥭,Mango flavor is the best of this brand.,5.0,4.0,5.0
28,5.0,Awesome,Smoothness,5.0,5.0,5.0
29,4.0,"Good flavors, but…","It’s good and have very good flavors. Specially the menthol ones. The only but I’m concern is that it leaks(?) sometimes. When I vape, I taste some good amount of the juice and tingles my tongue.",5.0,4.0,5.0
