Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,4.0,I like this brand,"Hits nice, flavor is good and it last for a decent time for me",5.0,4.0,5.0
2,4.0,Last long,"Same great flavor as the e-juice, and last long!",4.0,4.0,5.0
3,4.0,Not bad,Not bad,4.0,4.0,5.0
4,5.0,Good brand,So far so good. Last very long and the flavor is very good.,5.0,3.0,5.0
5,5.0,Yummy,Great flavor long lasting,5.0,5.0,5.0
6,4.0,They’re good,They’re good,4.0,4.0,4.0
7,1.0,Didn’t like the flavor,Not that good,1.0,2.0,3.0
8,1.0,Horrible taste,I won’t be buying this brand again! Taste like cough medicine,2.0,1.0,2.0
9,2.0,Cherry lemon ice,Taste very off. Chemical like taste. Wanted to like this one but I dont,1.0,3.0,3.0
10,5.0,New favorite,"Long lasting, good taste",5.0,5.0,5.0
11,4.0,Long Lasting,"This has lasted a long time, the battery only needs to be charged once a week. I like the flavor although could use a little more ice.",4.0,3.0,5.0
12,4.0,Pretty good product,Pretty good flavor but don’t last long,3.0,3.0,3.0
13,5.0,Price and quality great,Good product flavor and extremely good price!!!,4.0,3.0,5.0
14,3.0,It's ok,It's ok,3.0,3.0,3.0
15,2.0,Flavors aren't great,I bought 4 of these in different flavors and didn't care for most of them,2.0,4.0,3.0
16,5.0,Love it!,Great flavors!,5.0,4.0,5.0
17,5.0,Review,It's pretty good. Nice choice,4.0,4.0,5.0
18,3.0,It’s ok,Taste is ok. Only tried Apple so far.,3.0,3.0,3.0
19,5.0,Good,Good,4.0,4.0,4.0
20,5.0,Love this vape!,"Love. These vapes, not as many puffs but the puffs are very enjoyable and I get more enjoyment. Will buy again",5.0,5.0,5.0
21,4.0,Good flavor,Doesn’t last for long,4.0,4.0,3.0
22,5.0,Green Apple 🍏,"Geeen Apple is great taste, huge vapor, when it turns it’s burnt. Not sure the puff count is accurate only lasted 2 days :(",5.0,4.0,2.0
23,4.0,Not bad,"Pretty good taste, not overly sweet, but for some reason when the charge goes down (not all the way), it's harder to get good clouds.",4.0,3.0,4.0
24,5.0,Green Apple,Long lasting,5.0,5.0,5.0
25,1.0,Cheap,Tasted cheap,1.0,1.0,2.0
26,4.0,Good,"Last a good while and good flavor, blueberry lemon was the best",5.0,4.0,3.0
27,5.0,Wow,Great product,5.0,5.0,5.0
28,4.0,Good purchase,"We had a slight issue with one of these pens once where the draw mechanism wasn't working, but the flavors offered are great!",5.0,4.0,5.0
29,5.0,NKD 100Max,This is a good product and offers a variety of flavors,5.0,5.0,5.0
30,4.0,Not as smooth,Bad taste. Harsh,1.0,2.0,2.0
31,5.0,Pleasant apple favor,"Very enjoyable, first time buying. Would buy again",5.0,4.0,4.0
32,3.0,NKD blueberry,The flavor is very light with not enough smoke.,3.0,2.0,3.0
33,4.0,Pretty good,This one was new for me. The flavors looked good I got the watermelon ice but I cannot taste the watermelon unfortunately. It had a weird taste and after taste. Didn’t last long but I’d try it again.,3.0,2.0,3.0
34,5.0,Guava Berries,So good and flavorful and smooth. Dome is pretty light but these last pretty long and ran out when I got tired of it. Would probably get this flavor again tbh,5.0,5.0,5.0
35,5.0,Ice Apple,Worth it,5.0,3.0,5.0
36,2.0,Eghh,"Didn’t like the flavor. Tastes like cough medicine unfortunately. I was excited because I LOVE guava. Taste no guava at all, just berries and not good ones. Cough medicine ones. Also a cheap container. I will point out it is lower priced so you get what you pay for.",1.0,3.0,2.0
37,5.0,🔥,"Peach mango is too lit! Tasted like Snapple tea at first, but started to schmack the next day",5.0,4.0,4.0
38,5.0,Good flavor,Nice draw and good flavor,4.0,3.0,4.0
39,4.0,The,Good,4.0,4.0,4.0
40,5.0,Watermelon Ice,I am big on flavors. This has the best watermelon flavoring I have been able to find. I am buying this again for sure.,5.0,5.0,5.0
41,5.0,Nice mellow taste,Taste not as aggressive as the pods. Better value as they last longer.,,,
42,5.0,Smooth,Super smooth and great flavor.,,,
43,4.0,Flavor,Decent flavor,,,
44,5.0,Loved it,Very smooth flavor,,,
45,5.0,Nkd 100,"Have nkd 100 juice thought I would try disposables
Good choice
Nkd 100 disposables are really good
Would recommend to try",,,
46,5.0,NKD,I enjoyed my flavor,,,
47,5.0,Great flavor,These have great flavor and last quite a while. Very satisfied with this product.,,,
48,4.0,Nkd,It was okay.,,,
49,4.0,Apple ice is.the B b b bomb!,Bombastic just fantastic! Icy baby apple icy =],,,
50,4.0,apple,"sweet, fresh flavor, very small in hands",,,
51,5.0,Great Product,"Reminds me of a Daze disposable, smooth and great flavors!",,,
52,5.0,Must Try,"Flavor is in point. No frills device. You want peach, you got peach. You want mango, there's mango. You want ice, there's ice. Not too sweet. Good battery life too. Would buy again.",,,
