Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,Yummy,I love this one! It does not leave a nasty after taste. I think this will be my go to vape.,5.0,5.0,5.0
2,5.0,Great flavor,It's good to see some of the cereal and dessert flavors in the disposables,5.0,3.0,4.0
3,5.0,Good vape,Great lil disposable !!!,5.0,4.0,3.0
4,5.0,Soo sweet,Cherro flavor is good. Super sweet.,5.0,5.0,4.0
5,4.0,Good,Not my favorite but it is good and does the trick,3.0,4.0,4.0
6,4.0,Not the best flavor but works well enough,"Flavor (Marshmallow) could be a lot sweeter, but airflow is great and lasts a very long time.",4.0,3.0,5.0
7,5.0,Flo,Enjoy the flavor,5.0,5.0,3.0
8,5.0,Pod Mesh,Love the adjustible flo,5.0,3.0,4.0
9,5.0,great vape,my favorite,5.0,5.0,5.0
10,5.0,Cola flavor,The cola is my favorite!,5.0,3.0,5.0
11,5.0,Refreshing,These vapes are perfect,5.0,4.0,5.0
12,5.0,Great!,"Customer service - The Best
Shipping - FAST & Reasonable
Customer for life :)
I am veryyy picky about flavor and like what I like & they have the brand and flavor I like.",5.0,5.0,5.0
13,5.0,Great,Very good,5.0,5.0,5.0
14,5.0,Churros,I love my vape pen and it was a life saver that I can still order from you guys 😊 the only thing is I wish that the battery was rechargeable,5.0,5.0,2.0
15,5.0,Pod Mesh,Really nice designed and compact. Flavors really great as well.,4.0,4.0,4.0
16,5.0,very unique flavor,marshmellow is a go to,4.0,3.0,4.0
17,4.0,Good flavor,Doest last to long but love the taste,5.0,5.0,5.0
18,3.0,it's ok,"i tried churros. it tast like a hot cinnamon candy. not bad, definitely not a flavor i'd want to hit all day. i got it for the holidays to have once in awhile. good for the price.",3.0,3.0,3.0
19,3.0,Test run,Wasn't my favorite but works good,3.0,4.0,4.0
20,3.0,Ok good,Flavor is ok but battery die fast,3.0,3.0,3.0
21,3.0,Not even 500 puffs,Did taste good but the taste died rather quickly and a burnt like taste,3.0,1.0,1.0
22,4.0,Good,"Frozen banana is my favorite, the kiwi strawberry & churo flavors are good too. They don't last terribly long though.",5.0,5.0,4.0
23,5.0,Cola ice,Great flavor and lasted good amount of time,5.0,1.0,5.0
24,5.0,Love it!,This is so super smooth to inhale. It's my new favorite!,5.0,5.0,5.0
25,1.0,Cheap,Cheap and abrasive vapor,1.0,1.0,2.0
26,4.0,Fruity,This flavor was a little too fruity for me but I like the POD mesh Flo a lot and will try another flavor.,3.0,4.0,2.0
27,5.0,One of the best hitting disposables,Flavor is on point,5.0,3.0,5.0
28,5.0,Very Smooth,"This is a very smooth vape, as well as long lasting.",5.0,5.0,5.0
29,4.0,Solid pick.,"End up going back to this one when I need a flavor break just to switch it up, theres just something about it. Plus the brand is easier to find these days if I’m traveling. Pod keeps the flavor consistent if you like it, stick with it.",4.0,3.0,3.0
30,4.0,Frozen Blue Raz FTW,"These have a pretty balanced flavor and seem to be super consistent. Wish they lasted a but longer, but that may just be me hanging on to it all day!",4.0,3.0,3.0
