Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,Good,One of the best,5.0,5.0,5.0
2,5.0,Hawaiian pog,Good flavor and long lasting,5.0,5.0,5.0
3,5.0,review,Love your product,5.0,3.0,5.0
4,5.0,Good,Good product 🤝,5.0,4.0,5.0
5,5.0,Love it,"Great flavor, lasted a long time!",5.0,4.0,5.0
6,1.0,Jazzy mango,I did not like this flavor tasted like old tooth paste,1.0,1.0,1.0
7,2.0,Low battery life,"Within 2 days, the vapes gave out.",2.0,2.0,2.0
8,5.0,Not my favorite but it's ok,I like it but taste was not what I expected,3.0,5.0,5.0
9,3.0,Forbidden fruit,Great flavor and long lasting,3.0,3.0,4.0
10,5.0,favorite flavor,gummy bears taste sooo good and I love how long these last,5.0,3.0,5.0
11,3.0,"Great taste, but short lived battery.",Battery went before the flavor.,5.0,4.0,3.0
12,2.0,Not good,Flavor not great,2.0,2.0,3.0
13,5.0,Tasty,"Taste good, not too strong",5.0,5.0,4.0
14,5.0,Legit,Smooth,4.0,4.0,4.0
15,5.0,Good product,Every aspect of this product is acceptable. Would buy again,4.0,3.0,4.0
16,5.0,I would get another one,Lasted a long time,5.0,5.0,5.0
17,5.0,Great,"Long lasting. Does not hit as hard as hype supremes, but last 2x’s longer.",4.0,2.0,5.0
18,5.0,Love it,Best product I’ve tried the smoke isn’t harsh like other vapes I’ve tried.,5.0,5.0,5.0
19,5.0,👍🏻,👍🏻,4.0,4.0,4.0
20,4.0,thanh thai,I really enjoy the product. It’s convenient for me.,4.0,4.0,4.0
21,5.0,Long time buyer,These were my all time go to for almost a year. Metholy fruity flavor is nice. Wish I could get these in non disposable bottles…,5.0,4.0,3.0
22,1.0,Love lucid,The gummy bear flavor is mid at best,1.0,1.0,4.0
23,3.0,POG,"Flavor was alright, lasted super long, not sure if I care about the flow control but it made the vape make noise when I hit it. No dome from smoking these though.",3.0,2.0,5.0
24,1.0,Ick,I had high hopes for this one but it's pretty terrible. It doesnt taste like Gummy Bears AT ALL! It had a horrible Aloe Vera-esq. I ended up just having to throw it away.,1.0,1.0,1.0
25,5.0,Bomb,Bussin,5.0,5.0,5.0
26,5.0,Bomb,Bussin,5.0,5.0,5.0
27,5.0,Gooood,So bussin,5.0,5.0,5.0
28,5.0,Bombbbb,Hella favorite,5.0,5.0,5.0
29,5.0,Bombbb,So good,5.0,5.0,5.0
30,4.0,Solid!,"Pretty good, enjoying it",4.0,4.0,4.0
31,5.0,Best one yet!,Love love love this one!,5.0,4.0,5.0
32,2.0,Poor battery life,Love the flavor but the battery life is very short.,5.0,5.0,1.0
33,5.0,Best vape,Best vape for under 20 dollars,,,
34,5.0,Great product!,Awesome product! Super fast delivery. Will order again!,,,
35,3.0,Not bad,Lucid air is better,,,
36,5.0,Would for sure recommend,This brand has some really cool icy flavors. It lasts as it says. If your not into too icy this probably isn’t for you but if you do like that icy feeling with great flavors check this one out.,,,
37,3.0,Not fond of forbidden fruit,"The name enticed me, had to try it. Disappointed with the flavor, taste like a blended berry medicine flavor . I do like quality of the lucid brand vapes though. Just not this flavor at all.",,,
38,5.0,Good,Good and kinda menthol,,,
39,3.0,Not bad.,I don't like the nipple mouth piece on this. flavor was ok and vape lasted long.,,,
40,5.0,Best,Best brand so far for me.,,,
41,5.0,Mango,Mango is my fav,,,
42,5.0,Lucid,Love the air change on this one,,,
43,5.0,Lucid,"Always better than the other brands, smooth every time time",,,
44,5.0,Good,Not my favorite but I enjoyed it. It’s a nice uncommon taste,,,
45,5.0,Lucid,Long lasting!,,,
46,3.0,Hit or miss,Some of the flavors are great some aren’t as appeasing. Loved POG not a fan of jazzy mango. The flow is just right though.,,,
47,4.0,Hawaiian Pog,Favor fades over time,,,
48,5.0,Good flavor,Realy nice lasts long time,,,
49,5.0,Lucid Flow - Strawmelon Ice,"The best Strawmelon Ice flavor. I had another brand, but this brand is amazing! A perfect blend of both flavors. I would definitely recommend this!",,,
50,5.0,Fruity goodness,Taste really bomb,,,
51,4.0,Awesome flavors,"Was referred to Try lucid disposables, so far I have no issues with them. They are great as you do not need a charger like some of the other ones
That does make it easier so you don't need to worry about having to charge it on the go.
I haven't tried every flavor yet, but ones I have tried so far, have been a home run",,,
52,5.0,One of my faves!,Lucid Flow's Gummy Bear flavor is one of my favorite flavors! Super fruity and flavorful. The adjustable air flow is a nice touch.,,,
53,5.0,Lucid Flow,POG flavor was very good.,,,
54,5.0,Lucid Flow,Good taste / air flow.,,,
55,5.0,Great procuct!,Flavor lasted until the end! Definitely getting more.,,,
56,5.0,Lucid FTW!,Amazing product!,,,
57,5.0,Amazing,Lucid Products are A1,,,
58,5.0,Lucid Flow,Great taste and last a long time.,,,
59,5.0,Lucid flow,The is the hottest thing on the market! Give it a try! Gummy bear flavor is amazing :),,,
60,5.0,Great flavor!,Great flavor and battery life,,,
61,4.0,Nice product.,Ran out a bit sooner than I expected but was good while it lasted.,,,
62,5.0,Amazing,Always amazing service,,,
63,5.0,Yummy,Flavor last thru out the whole use,,,
64,5.0,The best,Hands down the best disposable on the market. Wasn’t a huge fan of jazzy mango but all the others are absolute fire and last a week plus,,,
65,5.0,sweet taste good for those who like very sweet flavor,Sweet and good,,,
66,5.0,New Lush Disposable,I saw that Lush had a new disposable for sale at Huffs so I decided to give it a try and it didn't disappoint. The flavor is always on point and having airflow was a plus,,,
67,5.0,Lucid Flavor,Great flavor and last a long time,,,
