Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,bomb.com,taste great! last a long time,5.0,5.0,5.0
2,5.0,Steam engine,Tastes good,5.0,5.0,5.0
3,5.0,Great taste,Box is a great design,5.0,5.0,5.0
4,3.0,Interesting design,"Good flavor, box felt a bit cheap but the battery lasted until it started to leak.",4.0,4.0,3.0
5,5.0,These things look ridiculous and I love them,"I got these because they reminded me of the 90's, like a tomagotchi with a buzz, and they basically deliver on that. Good flavors, good pull, and absolutely hilarious.",5.0,3.0,5.0
6,5.0,solid device,great flavor,5.0,4.0,5.0
7,5.0,Cool form factor and great taste,"I think this is my favorite at the moment. it looks cool and people always ask about it. The flavor matches the ""coolness"" I got the strawberry and the flavor is great. not too sweet but robust! It has lasted me the longest out of all the ones I have gotten so far. I will be getting more of these and trying out other flavors.",5.0,3.0,5.0
8,5.0,love it,good flavor,5.0,3.0,5.0
9,5.0,Nunu box,"Thought ide try this one out, was not disappointed great flavor and last a while. Will be buying this again.",5.0,3.0,5.0
10,5.0,Great,I love the look of these flavor great also,5.0,4.0,5.0
11,5.0,GET THIS,"Love the airflow (it’s also adjustable), flavors are on point, and the design is so sick. Really like the mouthpiece in these and it lasts for a long time. Nunu box and Lost Mary vapes are on par and way better than elf bars and flums.",5.0,5.0,5.0
12,5.0,Nunu,Great taste good smoke,5.0,5.0,5.0
13,5.0,Dope,"I haven’t had the icy mint in a while and when I saw it on buffers and puffers I knew I had to grab it. Taste fire , lasted me about 5 days, only had to recharge once. Definitely a go to vape if you enjoy mint.",5.0,4.0,5.0
14,5.0,Excellent,This vape is super! Great taste and excellent device...,5.0,4.0,5.0
15,5.0,Steam Engine Nanu Box Energy,The flavor was really good and I really liked the way it looks. It seems to be lasting much longer than other disposable vapes I've tried.,5.0,4.0,5.0
16,5.0,Strawberry banana ice,Found the lights to be a bit irritating but flavor is good,5.0,5.0,5.0
17,4.0,Nunubox,Last long but not the best flavor,3.0,3.0,4.0
18,3.0,Was pretty good but probably would not order again,Was pretty good but probably would not order again,3.0,3.0,3.0
19,3.0,Nunu Box,Last long but taste kinda weird.,2.0,2.0,4.0
20,5.0,Great,Has a great flavor and lasts really long,5.0,5.0,5.0
21,5.0,Long lasting!,Great tasting and it lasts pretty long!!,5.0,5.0,5.0
22,5.0,Long Lasting,Love it,5.0,5.0,5.0
23,5.0,"Accurate taste, Goes on forever","This brand has very accurate flavor taste! No weird chemical taste or funky fake taste. everyone I’ve let puff in the strawberry, fall in love with it. additionally this vape lasts longer than any vape I’ve tried. I’ve had about 6 of the top brands so far and their one keeps going. It’s comfortable to draw and the charge lasts well.
love the customer service of huff puffers these guys are truly outstanding, very accommodating and not greedy. I live a place that does not nickeled and dime you! Finally their rewards program is legit. It’s not like those that hey you nowhere; their program actually makes my vapes cheaper. I I was not given anything to write this. I’m just a customer that’s totally impressed with how this place is run and I love NUNU Box. Thanks guys! Sabrina",5.0,5.0,5.0
24,5.0,Good flavor,Good flavor but if you vape like me...hard-core it lasted 3days haha. Better then most not better than flum pebbles or elf bar IMO,3.0,3.0,3.0
25,5.0,Awesome,Love the flavor,5.0,5.0,5.0
26,5.0,Amazing,"Great flavor, long lasting",5.0,5.0,5.0
27,3.0,A little to sweet,"The flavor is a little to sweet for my taste, but it was great as far as how long the device lasted",3.0,5.0,5.0
28,5.0,High Tech Vape,"I love the high tech look of the Nunu Box ... long lasting with 6000 puffs. I've only tried the Pina Colada, but I love the flavor.",5.0,3.0,5.0
29,5.0,Great flavor,"Flavor was very sweet and good, lasted a long time, tigther draw would have been nice. Little bulky to carry around.",5.0,5.0,5.0
30,5.0,Love it,"Hits well, last long…can’t wait to try the other flavors.",,,
31,5.0,Weird and awesome,I picked one of these up on the look of it alone and I was surprised at how much I ended up loving this vape. It's a small little box and you feel that when you're holding it but it's oddly satisfying. Great air flow and flavor to top it off. I tried the blue fizz or blue energy something. Loved it.,,,
32,5.0,Futuristic,So futuristic looking! Hits well,,,
33,5.0,Recommended,Fruit slushy in a vape,,,
34,5.0,100% good,very good 100% recommended,,,
35,5.0,Steam Engine,"I love it, it's smooth.",,,
36,5.0,Bf loves it,The flavor is everything!!,,,
37,5.0,buy it,wil not regret buying steam engine . Last long,,,
38,3.0,Bad coil,Taste good but the coil burned after few hits,,,
39,4.0,Best disposable i have ever tried,It's been great even has a air flow control in the bottom.,,,
40,2.0,eh,eh,,,
41,4.0,Long Lasting,"This disposable last for ever, it just keeps going and going. I use this one periodically throughout the day and only have to charge it every 3-4 days. I have been using the same one for 3 weeks and it is still going.",,,
42,5.0,Steam engine,A little bulky. Long lasting battery.,,,
43,5.0,Great!,I love the rechargeable vapes. They have great flavors and long lasting,,,
44,4.0,Good vape,I really like this brand and flavors. I just keep losing this one,,,
45,5.0,Good flavor and interesting look,Tasted good and lasted a while. Only con is the size of the device.,,,
46,5.0,Tasty,Nice flavor almost similar to something yogurty. Long lasting,,,
47,5.0,Good,Good,,,
48,4.0,My mom got off cigarettes,Pretty great if it got my mom off cigarettes,,,
49,5.0,Perfect,This is the ideal vape. It has sapid flavor from vape 1 to whenever I retired it (was still kicking 😂). The aesthetics are inimitable. It’s rechargeable and I believe via C. Buy this…trust me!!!!,,,
50,5.0,Bomb taste,Lasts long and hits smooth,,,
51,4.0,Nunu Box,"It’s a bit sweet, but it last pretty long!!",,,
52,4.0,Nice flavor,Was decent vape but very good flavor,,,
53,3.0,Hi,tasted the smell of burnt battery after maybe 1k puffs. Flavor was good before that happened though. Maybe mine was just defective,,,
54,5.0,Nice flavor,I prefer the sour flavors but this one was good and sweet.,,,
55,5.0,Nunu box peach,Tried it out and did like it,,,
56,5.0,Impressive design,Good taste and beautiful design,,,
