Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,Long lasting,Highly recommended,4.0,4.0,5.0
2,5.0,Great flavor!,"Kiwi passionfruit guava, flavor is amazing",5.0,4.0,5.0
3,5.0,Great flavor and long lasting,"great flavor, but not overly sweet. one of my favorites.",5.0,4.0,5.0
4,5.0,Juicy peach,"It was alright , boyfriend loved it",5.0,5.0,5.0
5,5.0,Great flavor,These are some of the best!,5.0,4.0,4.0
6,5.0,Sooooo good!,"This is absolutely my favorite brand. Lasts forever, strong and true sweet flavor, and recharges well. Already planning to order more! Cherry coke and juicy peach are my faves.",5.0,5.0,5.0
7,5.0,Nice,Nice,5.0,5.0,5.0
8,5.0,Great!,Wife loves this flavor! I’ll be ordering more,5.0,4.0,4.0
9,5.0,Lost Mary,My favorite!!,5.0,5.0,5.0
10,5.0,Awesome flavors!!!,"I got the Juicy Peach, Spearmint, Cherry Cola, and Mary Dream. They are all sooooo good. The Mary dream is kind of like a pina colada. I love them all. And these vapes last so long before they are actually done because you can recharge them so many times!",5.0,5.0,5.0
11,5.0,Good,Very good,5.0,5.0,5.0
12,5.0,Great flavor,Great lasting flavor.,5.0,4.0,5.0
13,5.0,Best one!,Just love this flavor is my favorite from Lost Mary. This last very long.,5.0,4.0,5.0
14,5.0,Lost Mary watermelon,Best flavor and longest lasting,5.0,3.0,5.0
15,5.0,One of my faves,"have had this one in a bunch of flavors and all of them have been good, seems to last forever",5.0,5.0,5.0
16,5.0,Will purchase again,Worth trying,5.0,5.0,5.0
17,5.0,Lost Mary peach,"Great taste, long lasting, it is simply the best!",5.0,5.0,5.0
18,5.0,Love it!,Great flavor!,5.0,5.0,5.0
19,5.0,Good stuff,"Good product, fair price and good customer service.",5.0,5.0,5.0
20,5.0,Lost mary,My go to very good company,5.0,5.0,5.0
21,5.0,Awesome,Love these. So many flavors,5.0,5.0,5.0
22,5.0,Cherry cola,"It was not what I was expecting but didn’t take long to become one of my new favorites, huff and puffers never disappoint with they’re cherry cola/cherry flavors",5.0,5.0,5.0
23,5.0,Terry Davis,Like it good deal,5.0,5.0,5.0
24,5.0,Cody,Great product great customer service fast shipping,5.0,4.0,5.0
25,5.0,Strawberry sundae,Very smoothe flavor. The right combination of flavors,5.0,5.0,5.0
26,5.0,Good Product,Liked the flavor. Lasted longer than I thought it would.,5.0,5.0,5.0
27,2.0,Blueberry ice lost Mary 0s5000,Tasted like chemicals really bad.,2.0,2.0,1.0
28,4.0,Not bad,"Good airflow, good taste. Charger location is annoying.",4.0,4.0,5.0
29,5.0,Love the juicy peach!!!,"Was recommended the lost Mary’s by a huff and puff employee and he wasn’t wrong, they taste amazing and last a good while",5.0,4.0,5.0
30,5.0,Lost Mary FAN!!!,I Love Every Flavor so far! The Mad Berry and Blue Razz Cotton Candy are so far my favorites! They last me a good deal of time.,5.0,4.0,5.0
31,5.0,Strawberry Mango,One of my top 3 flavors from Lost Mary. Not too sweet and very smooth on the throat. I will continue buying this flavor.,5.0,3.0,5.0
32,5.0,Mary Dream,I like them better than smoking,5.0,4.0,5.0
33,5.0,Love this brand,Have yet to find a flavor in this set I don’t like. I will keep trying them!!!,5.0,5.0,4.0
34,5.0,Lost Mary is my favorite brand by far,Long flavor last me about 10 days,5.0,5.0,5.0
35,5.0,Lost mary watermelon ice,"Super sweet, long lasting & i love how the charging port is on the top! I feel like keeping the vapes upright help w flavor & longevity.",5.0,5.0,5.0
36,4.0,Pretty good,It tastes like cherry cola and doesn't have the chemical taste like some do,4.0,5.0,5.0
37,5.0,Love this one!,I love that it has an indicator light that turns to red when it needs to be charged. The flavors aren’t bad either. I love the Watermelon but the cotton candy one was in my opinion absolutely disgusting! I love the bright colors too. The Watermelon is definitely my new favorite vape!,3.0,3.0,5.0
38,5.0,Awesome purchase,This will be the only place I purchase my capes from again! Excellent flavors and great product!,5.0,5.0,5.0
39,5.0,Fav,Exactly like Cherry cola,5.0,4.0,5.0
40,5.0,Good solid pulls lasts and tastes great,I will totally buy these again!,5.0,4.0,5.0
41,5.0,Good,Excellent taste,5.0,5.0,5.0
42,5.0,Amazing,Wished i ordered two,5.0,5.0,5.0
43,5.0,Vape,I really like this flavor but it gets old fast,5.0,5.0,3.0
44,5.0,Super great,"Great flavors, fast charge, pretty decent lasting. Juicy Peach and Pineapple Mango+++",5.0,5.0,4.0
45,1.0,Not worth it,Gross,1.0,5.0,1.0
46,5.0,Taste,It is amazing it’s is a bit strong at first but when you hit it after a bit it taste so much better,5.0,5.0,5.0
47,5.0,Tried and true!,"One of the best! Great flavor, works great. Will order again!",5.0,4.0,5.0
48,5.0,Very good,Has great flavor!,5.0,5.0,5.0
49,5.0,The best tasting vape I have found yet!,"This vape has a very smoth drag, along with a very long battery life. It normally lasts 3+ days before I have to charge it up again. I am a habitual smoker and find myself puffing on this at least 20+ sessions a day hitting it at least 10 times a session. I would give it 2 thumbs up 👍 👍for functionality and flavor longevity, or a 10 of 10 this is my go to from now on. Cranberry soda is the best!",5.0,3.0,5.0
50,5.0,Love it,Love it,5.0,5.0,5.0
51,5.0,Good,Good,4.0,4.0,4.0
52,5.0,Strawberry Ice,"Great flavor, more strawberry than menthol. Strong, but not overpowering hit. Lasts a long time.",4.0,4.0,5.0
53,5.0,Great taste,I love it. It has variety flavors but my favorite one is the watermelon. Love the taste and long lasting puffs😁,5.0,4.0,5.0
54,4.0,Solid Flavor,"If you want full strength flavor and a legit battery source, this line from Elf is your go to.",4.0,5.0,5.0
55,5.0,👍🏻,I purchased this for my fiancé so he would stop smoking cigarettes and just vape. His sister had a different flavor of these vapes and he tried it and liked it. He loves this flavor. He also really likes the feeling of the cap itself.,5.0,4.0,5.0
56,4.0,Not the best,"Flavor is good, but a little too harsh on the throat",3.0,3.0,3.0
57,5.0,Lasts a long time. Seller ships very quick!,Very pleased with my purchase. This vape seems to last longer with fuller flavor than others I've tried.,5.0,5.0,5.0
