Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,Tasty,This is so good! Tastes exactly like Hawaiian Punch ❣️,5.0,5.0,5.0
2,5.0,Better than the originals,The new Airo is way better than the original elf bars and seems to last longer too,5.0,3.0,5.0
3,4.0,Airo Max is smooth,"Love this vale from Elf Bar, Long lasting!",4.0,4.0,4.0
4,5.0,Elf is great!!,Elf is great!! This one with pineapple mango and banana,5.0,4.0,5.0
5,5.0,👍,Better then regular elf bar in my opinion,5.0,5.0,5.0
6,5.0,Good,Very good,5.0,5.0,5.0
7,5.0,Elf bar on steroids,Great flavor nice air flow,5.0,5.0,5.0
8,5.0,Berry Blast,Flavor was amazing! One of my new favorites!,5.0,5.0,5.0
9,5.0,Good flavor,Good flavor nice vape,5.0,4.0,4.0
10,5.0,Hits so smoothly,Flavor is awesome and the pull is so quiet and smooth,4.0,4.0,4.0
11,4.0,Recommend,Overall this was a really good vape. I liked the flavor I chose. I’d buy again.,4.0,4.0,4.0
12,5.0,good,something different that’s worth trying.,5.0,4.0,5.0
13,5.0,Awesome,Loved this elf bar. Great flavor and airflow,5.0,4.0,4.0
14,5.0,Tasty,Would buy again. Definitely too 5,5.0,4.0,4.0
15,4.0,Great flavor,Very tasty,4.0,4.0,4.0
16,5.0,good flavor,"watermelon kiwi cant go wrong, lasted pretty long",5.0,4.0,4.0
17,5.0,Airo Max Review,Really good flavor,5.0,5.0,3.0
18,5.0,Flavorful,Flavorful and last long,5.0,5.0,5.0
19,5.0,Yummy,Taste great,5.0,5.0,5.0
20,5.0,Best one yet,Airo is a good 420 product and now it’d a good nicotine product. Like that Elf added this.,5.0,5.0,5.0
21,4.0,pretty good,i love guava and this is a decent vape,4.0,3.0,4.0
22,5.0,"Good Flavor, smooth hits","Good flavor, solid hit. I got the Sakura Grape and Mango Pineapple, both juicy and delicious, the vape itself hits smooth and is a good nic level. Definitely recommend for a disposable.",5.0,4.0,3.0
23,4.0,Airo Max,Really like the cool flavor makes it smooth,4.0,4.0,4.0
24,4.0,Airo Max,pretty smooth,4.0,4.0,4.0
25,5.0,Good,Good flavor last long. Like it better then the original,5.0,5.0,5.0
26,3.0,Too sweet,"Elf bar hype is a mystery to me. Too sweet for my taste, but certainly last long.",1.0,5.0,5.0
27,4.0,Guava good,Nice guava taste. Mildly sweet. Good battery,5.0,3.0,4.0
28,5.0,Elf bar,Great air flow. Hit smooth. Good flavor.,5.0,4.0,5.0
29,5.0,Like it,I love this one very much elf bar lover,5.0,5.0,5.0
30,5.0,Good vape,"Good flavor, lasts pretty long. The sweet mint is really good.",5.0,4.0,5.0
31,5.0,Nice mini sized vape that lasts,Great flavor and smooth hitting little guy. Long lasting,5.0,5.0,5.0
32,5.0,Best brand hands down,Great vape . Nice flavor,5.0,5.0,5.0
33,5.0,Great flavor,Great flavor,5.0,4.0,5.0
34,5.0,🔥🔥🔥🔥,Best vape I have tried by far,5.0,5.0,5.0
35,4.0,Love it,Last long flavor,4.0,4.0,3.0
36,3.0,A bit Grapy!,Was a nice clean hit but a bit heavy on the grape flavor.,4.0,5.0,3.0
37,5.0,Pineapple banana,Enjoyed it very much,5.0,5.0,5.0
38,5.0,Great Flow,This has the best flow of any Elfbar so far. Good flavor too!,5.0,4.0,5.0
39,5.0,Nice flo,Favorite Elfbar so far. Really good flo and good flavors.,5.0,4.0,5.0
40,5.0,Great,Fast delivery and its great,5.0,3.0,5.0
41,5.0,Good,Was really good,5.0,5.0,5.0
42,5.0,tastes good,could last a little longer,5.0,4.0,3.0
43,5.0,First time on Airo Max,"Good air flow, flavor equal to other elf bar products",5.0,5.0,5.0
44,5.0,Love the flavor,"The banana pineapple was a pleasant surprise. We have used ElfBars for several months, but the airo max was new to us. The flavor was strong but not too overpowering, and the vape overall was long lasting and reliable.",5.0,4.0,5.0
45,5.0,Nice,Nice,5.0,5.0,5.0
46,5.0,New!,These are better than the originals hands down,5.0,5.0,5.0
47,5.0,Amazing,Love the new elf bar air max,5.0,5.0,5.0
48,5.0,Pretty good,It's as good as the other elf bars.,5.0,5.0,5.0
49,5.0,Loved it,Loved it,5.0,5.0,5.0
50,4.0,Good,Pretty good,4.0,3.0,4.0
51,5.0,Great flavor,Great flavor and great device,5.0,5.0,5.0
52,4.0,Good,yum!,4.0,5.0,4.0
53,2.0,Flavor dislike,Did not care for the flavor- lasted a long time,1.0,3.0,5.0
54,4.0,Elf,"Overall it is pretty good, definitely recommend it",4.0,4.0,4.0
55,5.0,Same great Elf,Good concert for hand same great Elf bar flavor. This one taste just like the original watermelon ice elf bar.,5.0,5.0,5.0
56,3.0,Smooth Hits,"Hit was a little too smooth for me; Decent flavor, doesn’t last long.",4.0,4.0,3.0
57,5.0,Excellent flavor.,Not harsh at all. Gentle and yummy. Just perfect.,5.0,3.0,5.0
