Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,Apple Ice,"Okay flavor, grows on you
My boyfriend loved it tho.",5.0,5.0,5.0
2,5.0,Mint,Super smooth the mint flavor lasted the whole life of the vape,5.0,4.0,5.0
3,5.0,Nice,"Sweet, smokes nice",5.0,5.0,5.0
4,5.0,Perfect,The flavor perfect longevity perfect no burnt taste on recharge,5.0,4.0,5.0
5,3.0,Berry tasted more of grape,This is just personal preference. I wasn’t crazy about the flavor. It’s not bad just not something I would buy again. Hits well. However it also uses a diff charger than my normal. I didn’t realize that :),3.0,3.0,3.0
6,5.0,Awesome,I love it like everything else I have bought from you guys it was great,5.0,5.0,5.0
7,5.0,Life saver,Huff and puff is a lifesaver seeing as how I can just walk into a store and buy these anymore and it's the flavor that I choose it lasts a long time and it gives me that nicotine that I need,5.0,4.0,5.0
8,5.0,Flavor,Nice,4.0,4.0,4.0
9,1.0,I do not recommend.,Not the icy grape I prefer.,1.0,3.0,3.0
10,5.0,Wonderful product!,Highly recommend!,5.0,5.0,5.0
11,5.0,My absolute new favorites,Perfection,5.0,5.0,5.0
12,5.0,Great product,Very good flavor and long lasting,4.0,4.0,4.0
13,5.0,All gang vapes,Great vape can’t go wrong. Flavor last a long time.,5.0,5.0,5.0
14,5.0,Great flavor,Prefect hit every time. The flavor isn’t overbearing and it sits comfortably in the hand,5.0,5.0,5.0
15,5.0,Very nice flavor,Wow 🤩 it’s very smooth and strong,5.0,2.0,5.0
16,5.0,Some are good,"Some flavors are good, some not so much
The mango peach doesn't taste like mango or peach",2.0,4.0,4.0
17,4.0,Long Lasting,"Ive been going for a bit with this one. Flavor is not that great (cool mint) but its been lasting awhile now, recharged half way through. Small and discreet. Nice",3.0,3.0,4.0
18,4.0,decent vape,"i got passion fruit. decent vape, not my most favorite. Thought i'd try a different brand. flavor is good and hit is smooth. airflow isn't adjustable.",4.0,3.0,3.0
19,3.0,Needs improvements,improvements,3.0,2.0,1.0
20,2.0,Not bad,More of a green mango flavor. Pleasant. Very mild and light hit. Worth a try if looking for mango. Lasts long,3.0,3.0,5.0
21,3.0,Good flavor.. doesn’t hit as well as I would like,Tastes pretty good but almost hard to hit,4.0,4.0,4.0
22,4.0,Yum,It's pretty good,4.0,4.0,4.0
23,5.0,Recommend!,Tasty!,5.0,5.0,5.0
24,5.0,Great Vape,Great Vape,5.0,5.0,5.0
25,5.0,Vape gang,It was ok prefer elf bars,3.0,3.0,3.0
26,5.0,last long,last long and great flavor,5.0,5.0,5.0
27,4.0,Good flavor,Cool mint is very minty which I like,5.0,4.0,5.0
28,5.0,Good,But not my favorite to sweet.,3.0,4.0,4.0
29,5.0,Love it!!,"I got a couple of these to try out and was impressed! Good flavors, long lasting and nice compact size! I’ll definitely get more of these,",5.0,5.0,5.0
30,5.0,Good taste,I will get more of these again when I run low,5.0,5.0,5.0
31,5.0,Vape gang,Will try this brand again,4.0,3.0,3.0
32,5.0,Surprising Long Lasting,"I'm surprised to have smoked on this for about 6days, elf bars usually last the same amount of time because I am a hard-core smoker. I mean, I always have them in my hand lol... but aside from my poor life choices it is long lasting but the flavor profile does go dull after about 4days. Elf bars is a little better.",3.0,4.0,5.0
33,5.0,Love!,This lasted forever! Flavor is good too!,5.0,5.0,5.0
34,5.0,Very good,very good fresh flavors,5.0,5.0,5.0
