Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,4.0,Super smooth,I liked the taste. It was super smooth. And a nice break from nic,5.0,5.0,3.0
2,5.0,Good flavor,Good flavor,4.0,4.0,4.0
3,5.0,Good for quitting Nicotine,I'm happy with this purchase,4.0,4.0,4.0
4,5.0,Great flavor,"Great flavor, I wish it had a little better air flow but overall I’m happy with the product",5.0,5.0,4.0
5,4.0,Long lasting- good flavor,The flavor was good and it seemed to last quite a long time compared to other disposable vapes.,4.0,4.0,5.0
6,5.0,Very pleased,Very pleased with flavor and the fact they are rechargeable is a plus,5.0,5.0,5.0
7,5.0,Fresh,Good!,5.0,5.0,5.0
8,5.0,Great,Love,5.0,5.0,5.0
9,5.0,Very nice,Flavor is very smooth,5.0,5.0,5.0
10,5.0,Rainbow Sherbet,I love it!! Crazy thing was i bought it on accident but this is definitely added to my favorites.,5.0,5.0,5.0
11,5.0,"Watermelon ,grape and melon",I love the flavor of lucid air brings have ordered many flavors,5.0,4.0,5.0
12,5.0,Blue Raspberry Lemonade,Gr8 taste really fun smoke,5.0,4.0,5.0
13,1.0,Grape 0 nicotine,I was really excited about trying the nicotine-free vape. I did not like the flavor or lack of flavor. It also made my tongue feel weird.,1.0,1.0,1.0
14,5.0,Nice alternative to nic,Great,4.0,4.0,5.0
15,5.0,Awesome,Same flavor without the nicotine!,5.0,5.0,4.0
16,5.0,Great Vape!!,This is perfect when you are trying to quit smoking. I like the pull and the flavor. It is a bit sweet for me but I like it.,4.0,5.0,5.0
17,2.0,Too sweet,Too sweet,1.0,5.0,2.0
18,2.0,Didn’t like it probably have to try it again,Didn’t like it probably have to get used to it,3.0,3.0,3.0
19,4.0,Good,Hit very Smooth and zero nic. Big ++!,4.0,4.0,3.0
20,3.0,Not bad,Will not buy again.,2.0,3.0,4.0
21,4.0,"Good flavor, but average",Flavor is okay…dont really like the bulky feel,4.0,3.0,4.0
