Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,Love these Vapes,Really love the service with these guys! The vapes are great and the delivery makes it super easy to get what you want and try new things.,5.0,3.0,4.0
2,5.0,Daze egge,Good flavor,5.0,5.0,4.0
3,5.0,One of my favs,Love the rechargeables. Haven’t had a bad flavor yet,5.0,5.0,5.0
4,3.0,Mango berry,It is just one k,3.0,5.0,5.0
5,4.0,Was nice but I prefer more flavor,Good,3.0,3.0,3.0
6,5.0,Good quality,Great vape. I like the flavor. It has a tiny bit of “cool” or “ice” which I’m not a fan of but in this vape with this flavor it’s subtle and goes well together.,5.0,3.0,5.0
7,5.0,So glad I found this vape again!,I love this one! I went to Florida and got one and ended up losing it. I didn’t know the name of it or anything. So glad I was able to find it again!,5.0,5.0,3.0
8,5.0,Love it,Cake pop is delicious. Just wish it lasted longer.,5.0,5.0,4.0
9,4.0,Good flavor/convenient but does not hold up well to charging,This is a very portable and lightweight device and the flavor (Cake Pop) was delicious. Huge amount of vapor from such a small device! However this did not hold well to charging and the flavor became completely burnt after recharging (did not have this experience with some other products) and I had to toss. Will be sticking to buying larger rechargeable disposable vapes in the future.,4.0,5.0,4.0
10,4.0,Good flavor,Lasts long,5.0,5.0,5.0
11,3.0,Shorty,Decent product for the price. Just needs to be a little sweeter,3.0,3.0,4.0
12,2.0,Could be better,Convenient size but lacking on flavor as I didn't get any mango flavors,2.0,2.0,5.0
13,5.0,Really good,They are the best out of any I have tried so far. Once in a while one or two have a faulty battery. But not very often. I do like the ohmlet best because there’s more puffs,5.0,5.0,3.0
14,3.0,Not as flavorful,I was previously loyal to mint daze Egges. I switched to another brand and after going back the egge is not as flavorful/lasting as I remember.,2.0,3.0,2.0
15,5.0,Daze Egge,Great flavor! Charge lasts for quite a long time,5.0,5.0,5.0
16,5.0,White gum,"I like it so much, the tester snd flavors are wonderful.",4.0,3.0,5.0
17,2.0,Tropical,Ran out fast,4.0,4.0,3.0
18,5.0,Tricy,Very smooth smoke I love them,5.0,5.0,5.0
19,4.0,Very good,"I like these more so than the elf bars, but that might be due to the very icy flavor I have. I will definitely be buying these again.",5.0,4.0,4.0
20,5.0,Review,Great product,5.0,4.0,4.0
21,5.0,Long lasting,Flavor is good,4.0,3.0,5.0
22,5.0,Great size and flavor,One of the best tasting vapes you could try,5.0,5.0,4.0
23,3.0,Island Colada,It’s okay. A bit too minty for me. I’ll stick to my elf bars.,3.0,3.0,4.0
24,5.0,Cheaper vape with great quality,I love that it is rechargeable and it did last longer than some of the other brands,5.0,5.0,5.0
25,5.0,Cutest disposable,"This is so cute and small, I definitely loose it all the time. But it tastes amazing like the original daze",5.0,5.0,3.0
26,5.0,Love these!,"These are great! Tried so many, I've had trouble finding flavors that aren't sooo sweet. The melonana is perfect! You do have to charge them occasionally but they charge quickly. Highly recommend !",5.0,3.0,5.0
27,3.0,Strawberry,"Flavor is muted and has an aftertaste similar to fruity toothpaste. Nic is strong enough to curb cravings. Fits in hand nicely. No throat hit, even in the beginning.",3.0,4.0,4.0
28,5.0,grapple aloe,"this by far is has been the best vape I have purchased, it hits medium, the flavors very tasteful, and I have not got bored of the taste,and the vape doesn't linger in your mouth or throat like others seam to .I'd give 10 stars if I could.",5.0,3.0,5.0
29,5.0,MangoBerry,I really liked the mango berry combination.,5.0,4.0,4.0
30,5.0,Good,Yummy,5.0,4.0,5.0
31,4.0,Yeahhhhh buddy,This is pretty alright. Got a little gross at the end but all good!,4.0,4.0,4.0
32,5.0,Long last,Last so long,5.0,5.0,5.0
33,5.0,Cake pop,I love the cake pop desert type flavor. It’s my favorite and the ONLY thing I will smoke!!!!! Plus they last a really long time!! You should definitely try it if you like sweet dessert type flavors,5.0,3.0,5.0
34,5.0,Excellent,Great taste,5.0,3.0,5.0
35,5.0,My favorite,This is the best lemon flavored vape I’ve found,5.0,4.0,4.0
36,4.0,Ugly design but good flavor,"Friends call it my ""pokeball,"" wish it were even MORE pokeball shaped. Awkward design, decent flavor. Like smarties.",5.0,3.0,4.0
37,5.0,Good,Good,5.0,2.0,5.0
38,5.0,Good flavor,Really like this flavor,5.0,4.0,5.0
39,3.0,OG Reds Ice,Loved the flavor but it didn't last long. It also wouldn't hold a charge for long. I had to keep recharging.,5.0,5.0,2.0
40,3.0,Lemon,It was ok overall,3.0,3.0,3.0
41,5.0,Awesome,I would recommend this product,5.0,4.0,4.0
42,5.0,Watermelon is bomb,Love every flavor so far,5.0,5.0,5.0
43,5.0,Love these little vapes,Great flavor,5.0,4.0,4.0
44,5.0,Pretty mid-tier,"It’s not bad, but it’s not good either. Flavor is barely there and it tastes off after hitting it back-to-back. I immediately tossed it when I gave up on this particular one",3.0,2.0,2.0
45,3.0,Cool,Cool,3.0,3.0,2.0
46,5.0,It is good,Ok,5.0,4.0,5.0
47,3.0,Fruit Punch and White Gummy,"These weren’t so good. I have yet to try cake pop and not sure if I should. Both flavors were off. Had a weird taste and feel in the mouth, similar to hyppe cotton clouds- tip- clouds in the name means it’s more like an ice cream flavor. White Gummy is a better option. Still looking for a good fruit punch 🤛",3.0,3.0,4.0
48,5.0,Always enjoyable,I'm honestly never disappointed. Will continue to buy from Huff & Puffers,5.0,5.0,4.0
49,5.0,Good bang for your buck,Great price and long lasting. Tastes good too!,5.0,5.0,5.0
50,5.0,Watermelon iced,Perfect little vape. I love this flavor and this product is just perfect I'm so glad I decided to give it a try.,5.0,4.0,5.0
51,5.0,Love it,I love it,5.0,5.0,5.0
52,5.0,Glacial mint review,Excellent,5.0,3.0,4.0
53,4.0,Great flavors!,Last long and doesn't need much charging! Tastes just like the e juice flavors!,5.0,4.0,5.0
54,5.0,Long lasting!,"You wouldn’t expect it, but this lil sucker will last a long time!(depending on how you use it) White Gummy is really good.. I have purchased this one several times",5.0,3.0,5.0
55,5.0,Great,Mango berry is my favorite flavor,5.0,3.0,4.0
56,5.0,Good,Taste and flow,4.0,4.0,4.0
