Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,Disposable review,"Pretty impressed for it being a disposable vape, can change the amount of air flow when you inhale. Good flavor as well",5.0,5.0,3.0
2,5.0,Fine,It's ok,5.0,5.0,5.0
3,5.0,Love them,Love their sweeter favor. The ice is too menthol for me.,5.0,5.0,5.0
4,5.0,Good brand,Good flavors long lasting,5.0,5.0,5.0
5,5.0,Got Marshmallow,"Great taste, bottom was a little tricky",4.0,4.0,4.0
6,4.0,Worth it,It’s worth trying,4.0,4.0,3.0
7,4.0,Nice Disposable,Great flavor but didn't last very long.,5.0,4.0,2.0
8,5.0,Nice smooth adjustable air flow,"Great flavor, easy hit and stylish design.",5.0,5.0,5.0
9,5.0,Good vape,Last long,4.0,4.0,4.0
10,5.0,Good vape,Last long,4.0,4.0,4.0
11,5.0,Tropical Peach Freeze,Super smooth nice flavor.,5.0,3.0,4.0
12,4.0,Strong vape,Stronger than the other pens I’ve tried. Flavor is ok.,4.0,3.0,5.0
13,1.0,Unsatisfied,This guy didn’t last very long/ tasted burnt within two days 🤷‍♀️,2.0,2.0,1.0
14,5.0,"great product, great quality","i really like these i used to buy them locally then they ran out of flavors
glad to find online seller
had no issues thus far, all working great and fast shipping",5.0,5.0,5.0
15,4.0,Good flavor; long lasting,"Strong hits, long lasting",4.0,4.0,4.0
16,4.0,Strong!,"Good, strong hits. Lasts a decent amount of time.",4.0,4.0,4.0
17,5.0,Yum,always loved Marshmallow POD,5.0,5.0,5.0
18,5.0,Great lasting & great flavor!,Great product!,5.0,4.0,4.0
19,5.0,Good,Marshmallow flavor is good. Tastes just like marshmallow. I like that it doesn’t leave the coolness after each hit. Lasts a long time too.,5.0,5.0,5.0
20,4.0,Adjustability is clutch,"Strength is on point. Little to no throat hit, but the airflow adjustment makes up for it. Flavor on the milder side.",4.0,3.0,4.0
21,5.0,Poifect,Very good flavor profiles and battery life!,5.0,5.0,5.0
22,4.0,Glacier Fuji Apple,"Flavor is good, but it does a little faster than other flavors.",4.0,5.0,3.0
23,4.0,Recharges and lasts long,Second place of 7 brands that I tried. Nice that it recharges but lacks a thick cloud.,4.0,3.0,3.0
24,4.0,Pretty good,Not as good as Lost Mary but lasts awhile,4.0,4.0,5.0
25,5.0,Great Flavor & Service,"Customer service - The Best
Shipping - FAST & Reasonable
Customer for life :)
I am veryyy picky about flavor and like what I like & they have the brand and flavor I like.",5.0,5.0,5.0
26,5.0,Nice vape,"I like the Pod 5500’s a lot. Flavor selection is great, delivery is fast & convenient.",5.0,3.0,4.0
27,5.0,Pod,Great pod will buy again,4.0,3.0,4.0
28,5.0,Love the adjustable airflow,Being able to adjust the airflow is a plus,5.0,4.0,5.0
29,5.0,Love it!,I will buy this many more times. Very smooth taste! Not sure how long it will last yet.,5.0,4.0,4.0
30,5.0,Thank you,Liked very much,5.0,5.0,5.0
31,5.0,Blueberry ice,The 5.5 really made a difference,3.0,3.0,3.0
32,4.0,Pod 5500,The air flow thing is interesting,3.0,3.0,3.0
