Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,Cape,Great taste,5.0,4.0,4.0
2,5.0,It was great,I liked this one. Nice flavor and was very smooth!,5.0,5.0,5.0
3,4.0,Amazing,Tastes just like the candy!,5.0,4.0,4.0
4,4.0,👍,Decent,4.0,4.0,5.0
5,4.0,Review for Candy King Air Disposable,"Great flavor and nicotine mix, but it sure as heck didn't last for 6000 puffs!",4.0,4.0,2.0
6,5.0,Love em 🤙🏽,Full of Flavor and long lasting,5.0,5.0,5.0
7,1.0,Taste less,I didn't like it the flavor lasted one day then started to taste burned,2.0,2.0,1.0
8,4.0,Good,Serviceable vape. Very sweet. A bit rough on the throat hit. One of the best I've tried but I like the elf aero and ultra and the ohmlettes a bit better because of their coils. Will probably buy more though for flavor variety.,5.0,5.0,4.0
9,5.0,Long-lasting,Smooth and tasty,5.0,5.0,5.0
10,5.0,Really good,I really like the gummy bear but this one is really good too!,5.0,5.0,5.0
11,5.0,Really good,I really like the pink squares!,5.0,5.0,5.0
12,5.0,My fav,My new fav,5.0,5.0,5.0
13,5.0,Amazing Vape,Great taste and a very smooth hit! Definitely worth the purchase,5.0,3.0,5.0
14,5.0,Awesome,I love it something different,5.0,5.0,5.0
15,5.0,First time,This one is stronger than others I have tried in the past. Great flavor though.,5.0,5.0,5.0
16,4.0,Thumbs up,Like the flavor,4.0,5.0,4.0
17,5.0,This,It was very yummy,5.0,5.0,5.0
18,5.0,Excellent flavor but doesn't hold well to charging,Peach Rings literally tastes like peach rings!!! Really enjoyed it while it lasted but flavor changed after charging 2x and had to toss. Still 5 stars though because the flavor is too good and the concept is really fun.,4.0,5.0,4.0
19,5.0,Green Apple,I switched to this after 35 yrs of smoking. Awesome!,4.0,3.0,5.0
20,5.0,Amazing,"Great flavor and lasted without a drop
In the taste or flavor",4.0,3.0,5.0
21,2.0,Charging,Runs out of charge and starts to taste stale,3.0,3.0,3.0
22,5.0,Strawberry watermelon bubblegum,Great flavor. First time trying this brand and I’m pleased with it,5.0,3.0,5.0
23,5.0,Amazing,Delicious,5.0,5.0,5.0
24,5.0,Really good,Great flavour! Charge lasts for quite a long time,5.0,5.0,5.0
25,4.0,Gummy Worms,"I got the flavor Gummy Worms. It’s pretty good, maybe a little bit too sweet for me. Still good nonetheless.",5.0,5.0,5.0
26,5.0,Its good,It has the right amount of flavor without being too overwhelming. It charges quick & lasts a pretty long time,4.0,2.0,5.0
27,5.0,Strong,"Great flavor, super sweet and sour. Only dislike is that it almost burns my throat, making me unable to hit the vape twice in a row",4.0,5.0,5.0
28,5.0,Amazing product!,Smokes really nice and has a great flavor.,5.0,5.0,5.0
29,5.0,One of my favorites.,First time trying this brand. Pretty sweet.,5.0,5.0,5.0
30,5.0,Best ever,Doesn’t leave that aftertaste in your mouth. It’s sweet it’s good I even ordered a second time of six different flavors waiting on that shipment.,5.0,5.0,5.0
31,5.0,Vape,Flavor is really taste.,5.0,5.0,5.0
32,5.0,Great,Lasts long and great flavor,5.0,5.0,5.0
33,2.0,Not as good,I like other brands a lot betterp,2.0,2.0,2.0
34,5.0,The best,"Compact design and long lasting, very good flavor",5.0,4.0,5.0
35,5.0,Good!,Good!,4.0,4.0,4.0
36,5.0,Great,Tasty,5.0,5.0,5.0
37,5.0,Will never go back to cigarettes,Love them!!! I do not smell like cigarettes!!,5.0,5.0,5.0
38,5.0,Good flavor,Good flavor and last long,5.0,5.0,5.0
39,5.0,Good flavor,One of the best I've tried.,5.0,4.0,4.0
40,4.0,Does the trick,"Ordered in 3 flavors, Mint Fresh, Peach Rings, and Pink Squares. The mint is standard mint, it is great. The candy flavors are decent but I not the best that I have had.",3.0,4.0,4.0
41,5.0,Love it,Taste is so addicting. I love it!,5.0,5.0,5.0
42,5.0,Great,Great,5.0,4.0,5.0
43,4.0,Good variety,"Candy King has a good variety of flavors. The vapes last all day before needing a recharge, and I am a fairly heavy vaper.",4.0,5.0,5.0
44,4.0,review,it’s good.,3.0,3.0,3.0
45,4.0,Good flavor,Good flavor and consistent puffs. Long lasting,4.0,3.0,4.0
46,5.0,"Look, feel, flavor all great","One of my favorite vapes I've tried, definitely recommend.",5.0,3.0,4.0
47,4.0,Strawberry rolls,It was good but for only a week,4.0,4.0,2.0
48,5.0,Blueberry,Good flavor,5.0,5.0,5.0
49,5.0,Mint,"My husband loves this flavor. He's converting from smoking cigarettes, the mint seems to help.",5.0,3.0,5.0
50,5.0,Amazing flavor,Amazing flavor,5.0,5.0,5.0
51,5.0,Great vape,Lasts for ever as long as you charge it and tastes great,5.0,3.0,5.0
52,5.0,Nice favor,Good Flavor,5.0,5.0,5.0
53,4.0,decent,decent but not so smooth pull,4.0,3.0,5.0
54,5.0,White gummy,Great flavor good hit and long lasting,5.0,5.0,5.0
55,5.0,Great,Great,5.0,3.0,5.0
56,5.0,Candy king,"This one had a good flavor, rechargeable so lasted longer than normal. I would recommend this one",5.0,4.0,5.0
57,5.0,A,Great product 100% recommended,5.0,5.0,5.0
58,5.0,Love it,Love this,4.0,3.0,4.0
59,5.0,Good Flavor,Long lasting - Good flavor,5.0,5.0,5.0
60,4.0,Good for the most part,Good for a while then started to have a different flavor,3.0,3.0,3.0
61,5.0,Smooth,"Great flavor and super smooth. Love these rechargeable vapes, last long and no worries of not using it enough before the battery dies",5.0,4.0,5.0
62,3.0,Flavor is decent,Would try another flavor to see if it's just the one I got,3.0,3.0,3.0
63,5.0,Good flavor,Have to charge often but other then that it's great,4.0,4.0,4.0
64,3.0,Not bad,"The flavor is good, but it’s weak on the vapor/smoke.",4.0,4.0,3.0
65,5.0,👍🏻👍🏻👍🏻,👍🏻,4.0,4.0,4.0
66,4.0,Mint,This one is like the others. Nice minty flavor and holds a long time. I would buy again,5.0,4.0,4.0
67,5.0,Long lasting,It’s very nice. I had hoped they would last longer. They have 6000 puffs. But I want to order more of the same next time.,5.0,5.0,5.0
68,3.0,Not very peachy. But still good flavor,"Not as much peach flavor as I would like to have, but still a good flavor.",3.0,4.0,4.0
69,5.0,Delicious!!,This one is one of my favorites!! It’s awesome!,5.0,4.0,4.0
70,5.0,Favorite,"LOVE IT, ONLY ONE I WANT! I CANT FIND ANY IN SOUTH CAROLINA!
Found you guys, and want to purchase more! Please KEEP SELLING THIS Specific
ONE
thank you",5.0,2.0,5.0
71,5.0,Candy King,These are my favorite disposable vape. The Peachy Rings has a great flavor!,5.0,4.0,4.0
72,1.0,Nahhh,"I figured id try this since I like the watermelon, bubblegum juice, this had a different taste and was way too cold for me.",2.0,3.0,5.0
73,5.0,Flavor,Must recommend vape to get,5.0,5.0,4.0
74,4.0,good flavor,only issue the flavor doesn't last long,4.0,3.0,2.0
75,4.0,taste is good,"good flavor, good price",4.0,3.0,3.0
76,5.0,Best Vape flavor ever.,Taste just like gushers. Best vape flavor i have ever tried. Not too sweet but so much flavor.,5.0,3.0,5.0
77,4.0,Peachy Rings,The flavor is on point. However doesn't last that long.,5.0,5.0,4.0
78,3.0,too sweet,too sweet,3.0,5.0,5.0
79,5.0,Review,Smooth without after taste,5.0,5.0,5.0
80,4.0,Good vape,"This vape is good, but all the flavors taste menthol.",3.0,3.0,4.0
81,5.0,"Strawberry, Watermelon, Bubblegum",The title says it all. This is a great mix of flavors and by far one of my favorites. The fact you can get a couple of charges out of it before the flavor is gone is awesome. A must buy.,5.0,5.0,5.0
82,5.0,Flavor,I love it tbh,,,
83,5.0,Yum!,"Lasted a long time, good flavor!",,,
84,4.0,good flavor,flavor is good but dont last long,,,
85,3.0,Good but not great.,"I had very high hopes for these because they look just like my favorite, Vibez. I was expecting them to be sweeter and more flavorful but they all let me down in a way. The sour blue straws are good but didn't love the others.",,,
86,5.0,Great!,Love it!,,,
87,3.0,Meh,The flavors aren't all great,,,
88,5.0,Vape,Yum,,,
89,5.0,Charge it.,"The Candy King Air Disposable Vape is chargeable and tastes very good. Just go puff, puff.",,,
90,4.0,Not too bad,Tastes good but not enough hits before you have to charge it,,,
91,5.0,same taste as real juice,"I used to love the white gummy flavor in Jamba juice, so I tried Jamba flavor and it tasted the same.",,,
92,4.0,Smells and tastes like candy,"I loved this one. Hits smooth, doesn't hiss after like some other brands. Smells and tastes just like the candy it's named after. Tastes a little burnt after the first time you charge it.",,,
93,5.0,HAPPY with product,GOOD PRODUCT,,,
94,5.0,Good!,Love the mixtures of flavors!,,,
95,5.0,Good,Good flavor,,,
96,5.0,Great,Great,,,
97,5.0,Great,Taste great,,,
98,2.0,Candy king gumi worms,I didn't care for this one very much the gumi worms flavor didn't taste anything like gum worms I wish I would have tried the strawberry one to see if that one actually tasted like strawberry,,,
99,4.0,Flavors were ehh,It's not that great comparing to new disposables out there,,,
100,5.0,Love it!,Very good flavor. Last awhile. Very smooth,,,
101,5.0,Excellent,Great flavor and nice pull.,,,
102,5.0,Smooth,"Smooth taste, love gummy, the shape makes for easy holding and fits flat in your pocket!",,,
103,3.0,More flavor,Needs more flavor!,,,
104,5.0,So far so good,I love the rechargeable vapes. They have great flavors and long lasting,,,
105,5.0,Candy,"I love it, you guys are awesome!",,,
106,5.0,Love this product and all the flavors,My favorite flavor would have to be the pink squares or the Rainbow,,,
107,5.0,Candy King Air - Blue Razz,This tastes just like the candy it’s wild. Def recommend!,,,
108,5.0,Happy customer,Every pod I get from them always works. Usually get it at smoke shops and they are the fake ones. They got the real ones!,,,
109,5.0,BLUE RAZZ,"Lasted a long time and great flavor. It lasted way longer than I thought it would! Reallyike the flavor, not overpowering, just right!",,,
110,1.0,Ok,"It’s was okay, I thought it was an elf bar but it wasn’t",,,
111,5.0,👍🏻👍🏻,Good,,,
112,4.0,fruit gush,Good,,,
113,5.0,Candy king,"Its good, would definitely recommend this to everyone",,,
114,3.0,"Great Flavor, Short Life.",Not sure if it the disposable I got but this vape didn’t last as long as I thought. I got the mint fresh flavor and it tasted great but the life didn’t last that long even after charging it the vape didn’t have much in kick in it. Would recommend trying the puff plus or the flume for a mint vape,,,
115,5.0,Good or great?,This disposable vape has great flavor but if I compare it to other Vapes it's hard to draw on so I would say this vape is good not great.,,,
116,2.0,Kinda weak,"It’s good at first but the puffs get weak after some use, even after recharging it",,,
117,2.0,Not the best,It tastes like burnt rubber after a few hits … I have to stop puffing it for a few hours at a time to avoid that taste and when it tastes like rubber I’ll wait again,,,
118,5.0,Candy King,"I like it, it last long and the flavor is decent!!",,,
