Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,4.0,Doesn't last too long,Pink lemonade is the best,4.0,3.0,3.0
2,5.0,White Gummy - great flavor,love this flavor! could be longer lasting tho,5.0,4.0,4.0
3,5.0,The best,Good flavor,5.0,5.0,3.0
4,5.0,Fav,This is one of my favorite vapes. Taste lasts and I think I charged this over 4 times before it tasted burnt,5.0,5.0,5.0
5,3.0,wanted to like them,"i wanted to like these but they die fast, and the flavor fades real quick.",3.0,4.0,1.0
6,3.0,Was ok,"At first this was really good, then it started tasting like burnt buttered popcorn.",3.0,2.0,3.0
7,5.0,Tasty,Love the flavor,5.0,5.0,5.0
8,5.0,Disposable,I like how it's easy to carry but does get lost alot or than that I love the product,5.0,4.0,3.0
9,5.0,Love this brand,It’s not overwhelming in flavor. Just perfect. I always carry at least 2 with me in case I misplace one.,5.0,4.0,4.0
10,5.0,Liked it,"I do like this disposable but for me I take too much air in and very little product out but flavors are all good from the handfuls I have tried but doesn’t last long enough for me, still would recommend.",4.0,4.0,3.0
11,4.0,Good brand,The peach raspberry was okay not bad but not my favorite I like really sweet and this one was just alright,4.0,3.0,3.0
12,4.0,Sweet,Good sweet flavor. Long lasting. Wish the draw was a little stronger,4.0,4.0,4.0
13,5.0,Gas,Straight gas. Best ones. Small easy to carry rechargeable and hella hits,5.0,5.0,5.0
14,4.0,Pretty nice,Decent flavor on this one.,5.0,4.0,4.0
15,4.0,Good,Could taste better but its ok,5.0,4.0,4.0
16,4.0,Good,Flavors pretty solid and lasts a while,5.0,4.0,4.0
17,5.0,Nice,Amazing taste.,5.0,4.0,4.0
18,5.0,Good,Good,5.0,5.0,5.0
19,5.0,Good 👍,White gummy and peach flavor are good 👍. Not sweet,4.0,3.0,5.0
20,5.0,A++,A++,5.0,5.0,5.0
21,5.0,Very good!,Love it!,5.0,5.0,5.0
22,1.0,Not the same.,"Not the same, lacks flavor and dies quick.",1.0,2.0,2.0
23,5.0,Good vape,Long lasting flavor high recommended,3.0,2.0,4.0
24,5.0,Re ordered.,"I've ordered these in the past and have ordered again. Though I haven't tried anything from this round of orders, I can say that I was pleased with this parricular brand.",5.0,5.0,5.0
25,4.0,Taste was okay,Didn’t lie the taste . It has a terrible after taste,2.0,4.0,5.0
26,5.0,The bomb,Best vape out there!,5.0,4.0,5.0
27,5.0,Good flavor,I like the size and it is very flavorful!,5.0,5.0,5.0
28,5.0,Vibez Air Disposable Vapes,"These vapes are outstanding and the shipping process was really fast. I received my product right away. Love this company.👍
Thank you,
Diana",5.0,5.0,5.0
29,4.0,White Gummies,"Good flavor, on the sweeter side but not too sweet. As always, Vibes are smooth and flavorful. Definitely recommend.",5.0,4.0,5.0
30,1.0,Doesnt last long stale flavor,Doesnt last long stale flavor taste really bad,1.0,2.0,1.0
31,4.0,Soft casing. Steady flavor,It has a unique case that is pleasant to touch. Flavor is steady. Overall good vape,4.0,4.0,4.0
32,5.0,Great flavor,Vape hits pretty smooth and the flavor is great. Will buy again.,5.0,5.0,5.0
33,5.0,Vape,This one has great flavor.,4.0,4.0,4.0
34,1.0,Not flavorful,Flat taste No flavor,1.0,1.0,3.0
35,5.0,Best vape ever!,These are the smoothest vape I’ve ever tried. Love the flavors and fast delivery! Thanks!,5.0,5.0,5.0
36,5.0,GENIUS flavor - all time favorite 😋🔥,"Initially, I was buying these for 34.99 a piece from my local Chevron. This a steal considering it's my all-time favorite flavor combo. I also recommend icy-grape + honeydew melon bubble tea.",5.0,3.0,4.0
37,3.0,ok,ok,3.0,2.0,3.0
38,4.0,Mint Green,"Very mild in flavor, but it does last a long time. Flum floats last me 2 and a half day if I'm lucky. This last me easily 5 days. I like Cool Mint from flum, this is more mild. More like spearmint.",3.0,3.0,5.0
39,5.0,Vibe disposable,Awesome taste.,5.0,5.0,5.0
40,5.0,Good flavor,Very Tasty,5.0,5.0,5.0
41,3.0,Too light,"The flavor is ok, but the vape is very light",4.0,3.0,4.0
42,5.0,Good flavor,😤,5.0,4.0,5.0
43,5.0,Love this brand,Great,5.0,5.0,5.0
44,5.0,Love the pull and not too sweet,I like this one. Nice pull and not too sweet,5.0,5.0,5.0
45,5.0,Good product,Compact design and long lasting,4.0,3.0,5.0
46,5.0,Vibez air watermelon bubble gum,Love them,5.0,5.0,5.0
47,3.0,Thank you,Liked thank you for you service,3.0,3.0,3.0
48,4.0,Vibez,This is a ok vape. Tried it for first time prefer other vapes.,4.0,4.0,4.0
49,5.0,Good product,Product is good. Last a lot longer then other products in have tried before. Flavor is really good. Have tried 3 flavors so far and each one is good.,5.0,4.0,5.0
50,5.0,Vibez,Mint flavor is pretty bomb and it was smooth to vape.,4.0,4.0,3.0
51,4.0,Vibe Air,Lemon Flavor was ok kinda.,4.0,4.0,4.0
52,5.0,Good flavor,Smooth hits good flavor and last a good amount of time.,5.0,4.0,4.0
53,4.0,Vibez Air,"Like the slim look of it , vapes pretty good",4.0,4.0,4.0
54,1.0,Dragonfruit,This is alright. Really harsh in terms of flavor.,2.0,3.0,3.0
55,5.0,Good flavor,Tastes good,5.0,5.0,4.0
56,5.0,Nice,Great flovor,5.0,3.0,5.0
57,4.0,Great flavor,"Great flavor, my wife only likes mint so the mint is to be expected.",4.0,4.0,4.0
58,5.0,Love Vibez,White Gummy and Frosted Banana are my favorites. Frosted Berry is also a good one.,5.0,3.0,5.0
59,4.0,Good little vapes,These feel great in your hand. The banana flavor is good once you get used to it.,4.0,4.0,4.0
60,4.0,"Great design, flavor pretty blah","Design and feel of it in your hand is great, I really enjoyed this vape! However, the flavor is slightly off putting. Perhaps it's the boba.",3.0,4.0,3.0
61,4.0,Mint flavor,Could be better after a while found it hard to vape out of.,4.0,4.0,3.0
62,3.0,leak,leaked a lot but the flavor was decent,4.0,4.0,3.0
63,5.0,Great,Last long,5.0,3.0,5.0
64,3.0,Disappointed,"Weak flavor, idk if I just got a dud but it tastes almost like it’s out of juice right out of the package /very weak",3.0,3.0,3.0
65,3.0,Ok,Not my favorite,3.0,5.0,3.0
66,5.0,Vibez,Great flavor. Long lasting.,5.0,5.0,5.0
67,3.0,Just ok,"Ok flavor, very tight draw.",3.0,2.0,3.0
68,4.0,Honeydew Boba,Tastes pretty good. Has a bit of a weird aftertaste. Pairs nicely with my boba milk tea drinks though!,4.0,4.0,4.0
69,5.0,New Favorite! WHITE GUMMY 😍,"I’ve pretty much stuck to elf bars and very happy with them for the most part. But I had a Vibes Air b4 and ordered it in WHITE GUMMY this time, sooooo glad I did!! Not too strong on sweetness, JUST RIGHT, imo. I like the slimness also.",5.0,5.0,4.0
70,5.0,great flavor,last long great flavor,5.0,5.0,5.0
71,5.0,White Gummy,White gummy has the best taste in this specific vape,5.0,4.0,4.0
72,5.0,I love these !!!!!,Great service and quick delivery. Very hay,5.0,5.0,5.0
73,4.0,Good vape,"Good flavor, decent vape!",3.0,3.0,4.0
74,5.0,yerrrr,as it should/,5.0,5.0,5.0
75,5.0,Vibez Air Disposable,good product,3.0,3.0,5.0
76,4.0,Good,The flavors have been a little hit and miss. Some are stronger than others and the lemon tart I tried shockingly smelled and tasted like popcorn. Overall good vape and long lasting.,4.0,4.0,5.0
77,5.0,Vibez,Good,5.0,4.0,4.0
78,5.0,aloe,I like this brand and they last well for disposables.,5.0,3.0,4.0
79,5.0,Long lasting,Decent flavor,3.0,3.0,5.0
80,5.0,White Gummy and Honeydew Boba,White Gummy and Honeydew boba are god tier,5.0,5.0,5.0
81,5.0,Excellent,Delicious will absolutely buy again,5.0,5.0,4.0
82,4.0,Good,Love this,4.0,4.0,4.0
83,5.0,My favorite,Once I found these I will never vape anything else!!!,5.0,5.0,4.0
84,5.0,Passionfruit orange guava,Good flavor and battery life. Not quite as many puffs before tasting burnt but other than that its great,5.0,5.0,3.0
85,3.0,Pretty good,Flavor wasn’t great but lasted long,2.0,2.0,5.0
86,1.0,This sucks,Good clouds,1.0,5.0,2.0
87,5.0,My favorite!,"Although they are hard to keep standing up, they last a very long time. These and the ones that look like this one.",5.0,4.0,5.0
88,5.0,Vibez,Great product!!!,5.0,5.0,5.0
89,5.0,White gummy,The flavor is out of this world,5.0,5.0,4.0
90,4.0,Great Flavor,Great strong flavors but lacks longevity compared to competitors,5.0,4.0,2.0
91,5.0,amazing flavor,10/10 white gummy,5.0,5.0,5.0
92,5.0,Vibez Grape Ice,"Flavor not as intense, just right with a touch of ice. Recommend",4.0,3.0,5.0
93,5.0,Nice flavor,Long lasting. I like the grape flavor!,5.0,5.0,5.0
94,3.0,A,I don’t like it,2.0,2.0,2.0
95,5.0,great,"i like the slim shape of this vape compared to others. it feels really sleek, easy to hold, and convenient to put into your pocket. the dragonfruit refresher flavor is so unique and tasty!",5.0,4.0,5.0
96,4.0,Frosted Berry,"Tastes just like a blue icee!! Flavor is pretty good, the dome is light for these. The look is pretty cool too",4.0,4.0,5.0
97,3.0,Passionfruit Orange Guava,"POG flavor was alright kinda left a burn aftertaste in my throat though. The other ones are usually really good, this one was probably my least favorite that I've tried.",3.0,4.0,5.0
98,5.0,Second Best,"If it weren’t for my recent discovery with another brand, this would by far take the cake but has been dethroned for second place. Flavor profiles are well executed and it has lasted me for 3 weeks.",5.0,4.0,5.0
99,5.0,Amazing flavor,Great flavor recomended 5star,5.0,5.0,5.0
100,2.0,Not impressed,Flavor was mediocre didn’t seem to last very long. Swft is better,3.0,3.0,2.0
101,5.0,Love the flavor,Love that it lasts,5.0,5.0,5.0
102,5.0,Husain,Yeahhh,5.0,5.0,5.0
103,4.0,good product,good taste and flavor,4.0,3.0,3.0
104,5.0,Taste great,I like the slim design and wider mouth pieces. The taste of the Banana is just right,5.0,4.0,5.0
105,5.0,Honey dew,Best flavor! Actually tastes like the honey dew melona!,5.0,5.0,5.0
