Review_id,Ratings,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,This is my favorite one. It last longer.,The best flavor I’ve tried. And it’s cheaper online Than buying it in store,5.0,5.0,5.0
2,5.0,Cherub Vapes,I love them,5.0,5.0,5.0
3,5.0,Peach ice,Great flavor and lasts long,5.0,5.0,5.0
4,5.0,Bomb.com,So quick with shipment and the best prices out there hands down. This was my first order and I will ordering again and again and again. Def my go to spot moving forward.,5.0,3.0,5.0
5,5.0,Best brand Topshine,I’d strongly recommend peach flavor,5.0,5.0,5.0
6,5.0,Yurrrr,The best,5.0,5.0,4.0
7,5.0,Great,It is cool ! Love the taste an long lasting,5.0,5.0,5.0
8,5.0,Great products,Love it . Will recommend. Placing new order ASAP,5.0,5.0,5.0
9,5.0,Great,"Great flavor, long lasting.",5.0,5.0,4.0
10,4.0,Good,The taste was amazing it just didn't last as long as I personally would have thought but great taste,5.0,5.0,4.0
11,5.0,"Great flavor, long lasting, stylish design",Great vape. I'm really glad i tried it. The cola flavor reminded me of the slushees i drank as a kid.,5.0,5.0,4.0
12,5.0,Nice rich flavor,Awesome vape...long lasting...great price,5.0,5.0,5.0
13,5.0,Traci,I really enjoy this flavor.,5.0,5.0,5.0
14,5.0,Love it,Best,5.0,5.0,5.0
15,5.0,Best,Love it,5.0,5.0,5.0
16,5.0,Love it,Best vape,5.0,5.0,5.0
17,5.0,Best vape,Love it,5.0,5.0,5.0
18,5.0,Best vape,Love it,5.0,5.0,5.0
19,5.0,Best vape,Love it,5.0,5.0,5.0
20,5.0,Best vape,Love it,5.0,5.0,5.0
21,5.0,Best vape,Love it,5.0,5.0,5.0
22,5.0,Good,Good,5.0,5.0,5.0
23,5.0,👍,I love the top shine brand,5.0,5.0,5.0
24,1.0,It does not taste like grape.,"Flavor is off, mint was good.",3.0,2.0,3.0
25,5.0,Unexpected,Good flavor,5.0,3.0,3.0
26,5.0,These are great,The flavors are great the price is the best and shipping was so fast. I am definitely only ordering from here for now on.,5.0,4.0,5.0
27,4.0,Great overall,"I ordered in bulk, so far one of them tasted already burnt so we tossed it out. Over all satisfied with products though and will order again.",5.0,5.0,5.0
28,5.0,Super,Really good flavor and good battery I will buy it again.,5.0,5.0,4.0
29,5.0,Top Shine,This is the best flavor.,4.0,4.0,3.0
30,4.0,TopShine Review,Great product to replace JUUL and like the flavors!,4.0,4.0,4.0
31,5.0,Super menthol,"Super icy menthol, which I love",5.0,5.0,3.0
32,5.0,Review for Huff and Puffer,I love this product! Thank you!,5.0,4.0,4.0
33,5.0,Thank you,Like very much thank you,4.0,4.0,4.0
34,5.0,Always my go to vape,I love how flavorful and refreshing this brand is. After vaping with this brand I haven't found anything that comes close to compare. :),5.0,5.0,4.0
35,5.0,Top shine,Love them,5.0,3.0,5.0
36,5.0,Top Shine is in my top five,"Good flavor, long lasting",5.0,4.0,5.0
37,5.0,Good Product's,i like the products,5.0,4.0,3.0
38,5.0,great product!,amazing flavor and lasts a while!!,5.0,4.0,5.0
39,5.0,Taste,Enjoy the flavor,5.0,5.0,5.0
40,5.0,Great!,"Great customer service, and arrives quickly 😊",5.0,5.0,5.0
41,3.0,Good,Tasted good wish it had more of a strawberries taste,3.0,5.0,4.0
42,5.0,Perfect,Not too sweet n last a while!,5.0,3.0,4.0
43,5.0,Top choice,Great pull. Flavor is great,5.0,5.0,5.0
44,5.0,fav blueberry lemonade,on the sweeter end of other blueberry lemonades but fits my taste,5.0,5.0,4.0
45,5.0,Awesome,"Good flavors, no leaks and lasted long",4.0,3.0,4.0
46,4.0,Design on the mouth piece,Dislike the mouth piece design,3.0,4.0,3.0
47,5.0,Marcos/Silvia,Good but doesn’t last long,5.0,3.0,3.0
48,4.0,Top Shine Cherub Disposable Vape 5% Nicotine,I like the flavor taste and sweetness. The problem with top shine is the long lasting part. Some of them last a long time and some of them just after 2 days the taste burnt already. They are not consistent with the quantity of the liquid in the product.,5.0,5.0,3.0
49,5.0,Great taste!,Really good taste and lasts a while.,5.0,5.0,5.0
50,5.0,Best Vape,"Great vape, smooth and last awhile!",5.0,5.0,5.0
51,5.0,Amazing!!,"Great vape, smooth and last awhile!",5.0,5.0,5.0
52,5.0,Good vape,"Great vape, smooth and last awhile!",5.0,5.0,5.0
53,5.0,vape review,great taste and rechargeable,5.0,4.0,2.0
54,5.0,Good,Love the flavor,5.0,5.0,5.0
55,5.0,Favorite,Strawberry watermelon is my favorite the disposable lasted a pretty long time for as much as I puff. I recommend,4.0,4.0,4.0
56,1.0,Love the products just not this flavor,Don’t care for the taste,2.0,3.0,3.0
57,5.0,TOP SHINE FOR THE WIN,"suprisingly lost quite a long time and the flavor is really good, highly recommend the guava ice",5.0,4.0,5.0
58,5.0,Quick delivery,Good taste,5.0,5.0,5.0
59,5.0,Comfortable,Great flavor and sleek fit,4.0,4.0,4.0
60,5.0,Taste good,Taste good long lasting,5.0,5.0,5.0
61,3.0,Alright,Tasted good till the charge,4.0,3.0,2.0
62,5.0,GRAPE ICE,oh this is what you call a nice hit something that will hit like a cig but way better,5.0,5.0,5.0
63,5.0,Fantastic,Guava Ice is my go to flavor,4.0,3.0,4.0
