Review_id,Ratings,Dates,Date_Category,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,11 days,Less than 2 months,Vape,I really like them and they last forever,5.0,5.0,5.0
2,5.0,15 days,Less than 2 months,Not sure???,Love it!!!,5.0,5.0,5.0
3,5.0,16 days,Less than 2 months,My favorite.,"Good flavor, not too strong.",5.0,5.0,5.0
4,5.0,16 days,Less than 2 months,"Vape Gang xdl Duo, cool mint/blueberry","I love this vape, wish it lasted a little longer but flavor is excellent 👌🏼",5.0,5.0,3.0
5,5.0,20 days,Less than 2 months,Meh,Decent but not great,5.0,4.0,4.0
6,5.0,28 days,Less than 2 months,Switch Duo,"Love the tasty flavors I can switch between; 2 flavors in one device.
Arrived quickly. Long lasting - 2500 puffs.",5.0,4.0,5.0
7,5.0,1 month,Less than 2 months,Gang Vapes Switch Duos,You guys are fantastic! I love my Gang Vapes that I purchased! Thanks for great service! I will definitely be back to purchased more products very soon!,5.0,5.0,5.0
8,5.0,1 month,Less than 2 months,Great,Amazing taste,5.0,5.0,5.0
9,5.0,1 month,Less than 2 months,vape gang xxl switch Duo!,"This is only one I like,So I was so excited when I found out u had it.delivery is awesome to.Thank u so much!",5.0,2.0,5.0
10,5.0,2 months,Less than 2 months,Nice but could be smoother in tase,Nice but could be smoother in tase,4.0,5.0,5.0
11,5.0,3 months,3 months to 5 months ago,Great,Love it,5.0,1.0,5.0
12,5.0,3 months,3 months to 5 months ago,Love this flavor,Love this!!!,5.0,3.0,4.0
13,5.0,4 months,3 months to 5 months ago,Love the duel flavors!,"I like this one because if you want a variety of flavors, you don't have open 2 different vapes.",5.0,5.0,5.0
14,5.0,4 months,3 months to 5 months ago,Switching,Flavor doesn’t change much but acceptable,3.0,2.0,2.0
15,5.0,5 months,5 months to 1 year ago,Review,Recommendable,5.0,5.0,4.0
16,5.0,5 months,5 months to 1 year ago,Apple is the best,"The Apple one is the best!!!
I try to keep this one in the rotation for sure.
I can never tell which flavor is which on these, but both flavors are always good and it’s fun to “switch” it sometimes 😅",,,
17,1.0,5 months,5 months to 1 year ago,Disappointed,I was really excited for this product just for it to taste like a cross between flowers and dish soap,,,
18,1.0,5 months,5 months to 1 year ago,But experience,It’s was Nothing inside Leaking out everything .,,,
19,3.0,8 months,5 months to 1 year ago,Flavor doesn't last,"Flavor tastes great, but it doesn't last with the flavor. There's just so much better brands than these big known ones.",,,
20,5.0,11 months,5 months to 1 year ago,Great and speedy service,Product is the best in O C with the greatest prices in California,,,
21,4.0,12 months,5 months to 1 year ago,okay,good flavor,,,
22,5.0,1 year,Less than 2 months,Love it,Perfect disposable Vape.,,,
23,5.0,1 year,Less than 2 months,Great,Good flavor,,,
24,5.0,1 year,Less than 2 months,Love it!,Nice to be able to change the flavor. Both a good,,,
25,5.0,1 year,Less than 2 months,Perfect !,Perfect go to! Runs short tho,,,
26,5.0,1 year,Less than 2 months,Love It!!,"I love this one. I love the 2 in 1 combo, so u never feel like u're stuck with jst 1 flavor. Its smooth and the flavors are spot on and heavy",,,
27,5.0,1 year,Less than 2 months,Good,A little cheaper than in store,,,
28,5.0,1 year,Less than 2 months,Good,It’s smooth on the throat.,,,
29,4.0,1 year,Less than 2 months,Not hard,Is not hard when you ispire,,,
30,5.0,1 year,Less than 2 months,Satisfacción,Good product,,,
31,3.0,1 year,Less than 2 months,Hit & miss,Love the ability to change ‘flavors’ but you can tell when it’s about to stop working. Loses flavor quickly.,,,
32,5.0,1 year,Less than 2 months,Totally recommended it!,I think this is the best kind of disposable that I have tried so far. I think I came back and got almost every flavors that they have.,,,
33,5.0,1 year,Less than 2 months,Bomb!,I think I own almost every single flavor from this line. Affordable and doesn’t have that weird after taste.,,,
34,4.0,1 year,Less than 2 months,7/10,not the best but not terrible either,,,
35,5.0,1 year,Less than 2 months,Vape,Taste so sweet,,,
36,5.0,1 year,Less than 2 months,Solid flavors and Battery Life,Product tastes great and lasts forever. Worth the purchase and cheaper than most other smoke shops.,,,
37,5.0,1 year,Less than 2 months,Review,I liked it but the tast is strong :),,,
38,3.0,1 year,Less than 2 months,Ok,Ok,,,
39,5.0,1 year,Less than 2 months,Good combo,I like the original better,,,
40,5.0,1 year,Less than 2 months,Very tasty,I have enjoyed this one as it has two great tasting flavors as the switch is a good choice. You just click at the bottom to switch back and forth for two great tastes. Recommend trying this one as I purchased another one of this same flavor.,,,
41,5.0,1 year,Less than 2 months,Great taste,Great flavor and long lasting!,,,
42,5.0,1 year,Less than 2 months,My favorite,"I love all of these flavors, never had a bad batch. And the price is so good!",,,
43,4.0,1 year,Less than 2 months,Good flavor,Good flavor and long lasting,,,
44,5.0,1 year,Less than 2 months,Good,Last a long time and has a strong flavor,,,
45,5.0,1 year,Less than 2 months,Red apple/green apple,"If you like apple flavor, you will love this vape!",,,
46,5.0,1 year,Less than 2 months,My favorite,This vape is my favorite vape. I love the flavor and the feel of it...,,,
47,5.0,1 year,Less than 2 months,Love it,This is my go to flavors. I love both of them,,,
48,5.0,1 year,Less than 2 months,"Wonderful experience! Easy checkout, fast shipping.",Who could ask for better? That’s why I will come back every time.,,,
49,5.0,2 years,Longer than 1 year,Great,Love it that you can switch flavors,,,
50,5.0,2 years,Longer than 1 year,Bang XXL Switch Duo,Amazing taste! You wont get bored with one flavor because its 2 in 1. This is very convenient to bring whenever you go out with friends.,,,
51,5.0,2 years,Longer than 1 year,My favorite,I love these ones they’re my favorite !,,,
52,5.0,2 years,Longer than 1 year,Great,Great tasting & long lasting,,,
53,5.0,2 years,Longer than 1 year,Really good flavors!,The switch is a really cool feature that stands out and makes these really aesthetically appealing. I love the flavors aswell!,,,
54,5.0,2 years,Longer than 1 year,Bang xxl,Received my bang well not damaged or crushed and works like a champ,,,
55,4.0,2 years,Longer than 1 year,Good,Good,,,
56,5.0,2 years,Longer than 1 year,Bang duo Apple,This is one of my favorite flavors. Definitely can’t go on this one. It tastes like apple juice to me. YUM!,,,
57,5.0,2 years,Longer than 1 year,Great,great,,,
58,4.0,2 years,Longer than 1 year,Banana ice/Banana Strawberry ice,It's really good. Not my fave but still good!,,,
59,5.0,2 years,Longer than 1 year,Favorite,These duo flavor vapes are the way to go!,,,
60,5.0,2 years,Longer than 1 year,Sweet,Tasty and sweet,,,
61,5.0,2 years,Longer than 1 year,Bomb,Great taste the longest Vape that’s lasted for me,,,
