Review_id,Ratings,Dates,Date_Category,Heads,Texts,Flavor,Sweet,Lasting
1,3.0,7 hours,Less than 2 months,Good,Good,3.0,3.0,3.0
2,5.0,2 days,Less than 2 months,New favorite,Enjoying the hyppe max air compared to the hyppe max supremes,5.0,5.0,5.0
3,5.0,3 days,Less than 2 months,Nice,Nice,5.0,5.0,5.0
4,4.0,4 days,Less than 2 months,ok,not bad juice kinda of gets in your mouth,4.0,4.0,4.0
5,5.0,5 days,Less than 2 months,Hyppe Max Air,Very great !,5.0,5.0,5.0
6,5.0,6 days,Less than 2 months,Mighty Mint,I really like it !!it is my favorite all time vape,5.0,3.0,5.0
7,4.0,7 days,Less than 2 months,Love new size,My favorite flavor in a bigger size is awesome,5.0,4.0,4.0
8,5.0,10 days,Less than 2 months,Very good product,Long lasting great taste,5.0,5.0,5.0
9,4.0,11 days,Less than 2 months,Good flavor,"Flavor was good, didnt last as long for me compared to other disposables",5.0,5.0,3.0
10,4.0,12 days,Less than 2 months,Too sweet,Too sweet,3.0,5.0,5.0
11,5.0,12 days,Less than 2 months,I like it.,I like this vale as it lasts a long time.,5.0,3.0,5.0
12,5.0,13 days,Less than 2 months,Long Lasting,I’ll definitely purchase it again,5.0,4.0,5.0
13,5.0,13 days,Less than 2 months,really good,even good on the second charge,5.0,5.0,4.0
14,5.0,15 days,Less than 2 months,Value,Cape,3.0,3.0,4.0
15,5.0,17 days,Less than 2 months,Hype max,Long lasting,5.0,4.0,5.0
16,5.0,18 days,Less than 2 months,Great flavor,Comfortable mouthpiece. I like how it fits in my hand. Great taste and powerful hits.,5.0,4.0,4.0
17,5.0,18 days,Less than 2 months,Love this store,Received super fast and they are legit!,5.0,5.0,5.0
18,5.0,18 days,Less than 2 months,Good flavor,Lasts a long time,5.0,5.0,5.0
19,4.0,18 days,Less than 2 months,Recommend,Good flavor!,4.0,4.0,4.0
20,4.0,18 days,Less than 2 months,Best part,The best part is the lanyard,4.0,5.0,3.0
21,5.0,18 days,Less than 2 months,Great,Nice flavor,5.0,2.0,5.0
22,4.0,19 days,Less than 2 months,nice vape,I bought mighty menthol. Good flavor. Comes with a lanyard which is great. Lasts me about a 5 or 6 days.,4.0,2.0,3.0
23,5.0,19 days,Less than 2 months,Mighty mint,Love these,5.0,5.0,5.0
24,4.0,20 days,Less than 2 months,"Great taste, stopped charging",It was great! I got mostly through it before it stopped charging unless I held it a certain way! ( I did try multiple chargers.) No problem otherwise! 10/10,5.0,5.0,5.0
25,4.0,20 days,Less than 2 months,Solid!,Good taste. Rechargeable. You know when it goes out when the taste gets pretty light.,5.0,4.0,4.0
26,4.0,22 days,Less than 2 months,Yummmm,Great flavor,5.0,4.0,4.0
27,4.0,22 days,Less than 2 months,Good draw,Have used this device 6- or so times. The most recent purchase began self-firing and got quite warm when charging. Maybe a dud. Good mint flavor.,5.0,4.0,4.0
28,5.0,25 days,Less than 2 months,Mango 🥭,Mango flavor is the best of this brand.,5.0,4.0,5.0
29,5.0,25 days,Less than 2 months,Awesome,Smoothness,5.0,5.0,5.0
