Review_id,Ratings,Dates,Date_Category,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,5 hours,Less than 2 months,Lucid,Good,4.0,4.0,4.0
2,5.0,19 days,Less than 2 months,Good,One of the best,5.0,5.0,5.0
3,5.0,20 days,Less than 2 months,Hawaiian pog,Good flavor and long lasting,5.0,5.0,5.0
4,5.0,21 days,Less than 2 months,review,Love your product,5.0,3.0,5.0
5,5.0,1 month,Less than 2 months,Good,Good product 🤝,5.0,4.0,5.0
6,5.0,1 month,Less than 2 months,Love it,"Great flavor, lasted a long time!",5.0,4.0,5.0
7,1.0,2 months,Less than 2 months,Jazzy mango,I did not like this flavor tasted like old tooth paste,1.0,1.0,1.0
8,2.0,2 months,Less than 2 months,Low battery life,"Within 2 days, the vapes gave out.",2.0,2.0,2.0
9,5.0,2 months,Less than 2 months,Not my favorite but it's ok,I like it but taste was not what I expected,3.0,5.0,5.0
10,3.0,2 months,Less than 2 months,Forbidden fruit,Great flavor and long lasting,3.0,3.0,4.0
11,5.0,2 months,Less than 2 months,favorite flavor,gummy bears taste sooo good and I love how long these last,5.0,3.0,5.0
12,3.0,3 months,3 months to 5 months ago,"Great taste, but short lived battery.",Battery went before the flavor.,5.0,4.0,3.0
13,2.0,3 months,3 months to 5 months ago,Not good,Flavor not great,2.0,2.0,3.0
14,5.0,3 months,3 months to 5 months ago,Tasty,"Taste good, not too strong",5.0,5.0,4.0
15,5.0,3 months,3 months to 5 months ago,Legit,Smooth,4.0,4.0,4.0
16,5.0,3 months,3 months to 5 months ago,Good product,Every aspect of this product is acceptable. Would buy again,4.0,3.0,4.0
17,5.0,3 months,3 months to 5 months ago,I would get another one,Lasted a long time,5.0,5.0,5.0
18,5.0,4 months,3 months to 5 months ago,Great,"Long lasting. Does not hit as hard as hype supremes, but last 2x’s longer.",4.0,2.0,5.0
19,5.0,4 months,3 months to 5 months ago,Love it,Best product I’ve tried the smoke isn’t harsh like other vapes I’ve tried.,5.0,5.0,5.0
20,5.0,4 months,3 months to 5 months ago,👍🏻,👍🏻,4.0,4.0,4.0
21,4.0,4 months,3 months to 5 months ago,thanh thai,I really enjoy the product. It’s convenient for me.,4.0,4.0,4.0
22,5.0,4 months,3 months to 5 months ago,Long time buyer,These were my all time go to for almost a year. Metholy fruity flavor is nice. Wish I could get these in non disposable bottles…,5.0,4.0,3.0
23,1.0,4 months,3 months to 5 months ago,Love lucid,The gummy bear flavor is mid at best,1.0,1.0,4.0
24,3.0,4 months,3 months to 5 months ago,POG,"Flavor was alright, lasted super long, not sure if I care about the flow control but it made the vape make noise when I hit it. No dome from smoking these though.",3.0,2.0,5.0
