Review_id,Ratings,Dates,Date_Category,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,4 hours,Less than 2 months,Love this brand n flavor,Our favorite of all time,5.0,1.0,5.0
2,5.0,14 hours,Less than 2 months,Awesome,I enjoy the capes very much! I will continue to order from you.,5.0,5.0,5.0
3,5.0,4 days,Less than 2 months,Good Review,This is a mildly sweet flavor and pretty long lasting.,4.0,4.0,4.0
4,5.0,6 days,Less than 2 months,Black sakura,Very good,5.0,5.0,5.0
5,5.0,7 days,Less than 2 months,Convenient for me and it's helping me stop smoking,Love them,5.0,3.0,5.0
6,5.0,8 days,Less than 2 months,Deliciouso,"great flavor. the flavor was strongest at the beginning, but didn't last as long as long as some of the other flavors, but is still refreshing.",5.0,5.0,4.0
7,4.0,13 days,Less than 2 months,Love,"Flavor is great , lasts a great amount of
Time .",4.0,5.0,4.0
8,5.0,18 days,Less than 2 months,"Excellent Product, Excellent Customer Service!","This is an excellent product with dependable delivery and taste. Huff & Puffers has amazing customer service. They get back to you immediately if you need to adjust your shipping date or have any questions. I've been buying this same product, between 8-10/mo. for approximately a year, and have only ever received two that were missing cartridges, which they handled immediately. Thank you so much!",5.0,4.0,5.0
9,3.0,19 days,Less than 2 months,Peach gummy,"I buy this flavor for my daughter. She's 55 so no worries about whether she's old enough to use it. She tells me it's her favorite flavor.
By the way, does it come in the 5k puffs? - chilli",3.0,3.0,3.0
10,5.0,20 days,Less than 2 months,Quality control,Good battery life,4.0,4.0,3.0
11,5.0,21 days,Less than 2 months,Great bars,One bar last me up to a week and a half and along with its great price where it's at,5.0,5.0,5.0
12,5.0,26 days,Less than 2 months,Strawberry Ice Cream,Strawberry Ice Cream is Da BOMB 💣💣💣💣,5.0,5.0,5.0
13,4.0,26 days,Less than 2 months,My review,It was good but it seems like the battery went out rather quickly.,4.0,4.0,3.0
14,5.0,26 days,Less than 2 months,Happy customer,Super happy with my products and they came super fast. Will be ordering again very soon!,5.0,5.0,5.0
15,5.0,27 days,Less than 2 months,Excellent flavors!,"I love all of the flavors, lasts a long time.",5.0,4.0,5.0
16,2.0,27 days,Less than 2 months,Not happy,I didn't like this brand and how they tasted. I will not order this brand again.,2.0,5.0,3.0
17,5.0,28 days,Less than 2 months,Puff vape are the best,"My order arrived right away and they are the best
Flavors
Thank you",5.0,5.0,5.0
18,5.0,28 days,Less than 2 months,Happy,Exactly what I wanted,5.0,4.0,4.0
19,5.0,29 days,Less than 2 months,Flavorful,My favorite flavor of Puff Xtra. The flavor lasts til the end of battery life.,5.0,4.0,4.0
20,5.0,29 days,Less than 2 months,I love the flavors and the draw,"Best vape flavors and the draw is perfect. Some flavors are a bit sweeter, not my fav, but most are just perfect.",5.0,5.0,5.0
21,5.0,1 month,Less than 2 months,Looooove puffs,They are my favorite,5.0,5.0,3.0
22,5.0,1 month,Less than 2 months,Puff Xtra,Great full flavor and it's constant to the end! Good purchase,5.0,4.0,4.0
23,5.0,1 month,Less than 2 months,Blue razz ice,My favorite brand and flavor.,5.0,4.0,5.0
24,5.0,1 month,Less than 2 months,So yummy,This is the best flavor! Company was efficient!! Great customer service!! Definitely a new customer,5.0,4.0,5.0
25,5.0,1 month,Less than 2 months,love flavor,great price and usually in stock. not saturday though,5.0,4.0,5.0
26,5.0,1 month,Less than 2 months,My Favorite,"Ordered the Tropical one, and it's definitely my favorite. Definitely stocking up on those.",5.0,3.0,5.0
27,5.0,1 month,Less than 2 months,Kathy,Great product good value super fast shipping,5.0,3.0,5.0
28,5.0,1 month,Less than 2 months,Great customer service,"Awesome. Quick, easy, fast. I was surprised how fast it was mailed and love this product.",5.0,3.0,5.0
29,5.0,1 month,Less than 2 months,Awesome!,Great product,5.0,5.0,5.0
30,4.0,1 month,Less than 2 months,Review,Good flavor,4.0,3.0,4.0
