Review_id,Ratings,Dates,Date_Category,Heads,Texts,Flavor,Sweet,Lasting
1,5.0,2 days,Less than 2 months,Love these Vapes,Really love the service with these guys! The vapes are great and the delivery makes it super easy to get what you want and try new things.,5.0,3.0,4.0
2,5.0,4 days,Less than 2 months,Daze egge,Good flavor,5.0,5.0,4.0
3,5.0,4 days,Less than 2 months,One of my favs,Love the rechargeables. Haven’t had a bad flavor yet,5.0,5.0,5.0
4,3.0,10 days,Less than 2 months,Mango berry,It is just one k,3.0,5.0,5.0
5,4.0,12 days,Less than 2 months,Was nice but I prefer more flavor,Good,3.0,3.0,3.0
6,5.0,13 days,Less than 2 months,Good quality,Great vape. I like the flavor. It has a tiny bit of “cool” or “ice” which I’m not a fan of but in this vape with this flavor it’s subtle and goes well together.,5.0,3.0,5.0
7,5.0,14 days,Less than 2 months,So glad I found this vape again!,I love this one! I went to Florida and got one and ended up losing it. I didn’t know the name of it or anything. So glad I was able to find it again!,5.0,5.0,3.0
8,5.0,15 days,Less than 2 months,Love it,Cake pop is delicious. Just wish it lasted longer.,5.0,5.0,4.0
9,4.0,20 days,Less than 2 months,Good flavor/convenient but does not hold up well to charging,This is a very portable and lightweight device and the flavor (Cake Pop) was delicious. Huge amount of vapor from such a small device! However this did not hold well to charging and the flavor became completely burnt after recharging (did not have this experience with some other products) and I had to toss. Will be sticking to buying larger rechargeable disposable vapes in the future.,4.0,5.0,4.0
10,4.0,23 days,Less than 2 months,Good flavor,Lasts long,5.0,5.0,5.0
11,3.0,25 days,Less than 2 months,Shorty,Decent product for the price. Just needs to be a little sweeter,3.0,3.0,4.0
12,2.0,28 days,Less than 2 months,Could be better,Convenient size but lacking on flavor as I didn't get any mango flavors,2.0,2.0,5.0
13,5.0,28 days,Less than 2 months,Really good,They are the best out of any I have tried so far. Once in a while one or two have a faulty battery. But not very often. I do like the ohmlet best because there’s more puffs,5.0,5.0,3.0
14,3.0,29 days,Less than 2 months,Not as flavorful,I was previously loyal to mint daze Egges. I switched to another brand and after going back the egge is not as flavorful/lasting as I remember.,2.0,3.0,2.0
15,5.0,1 month,Less than 2 months,Daze Egge,Great flavor! Charge lasts for quite a long time,5.0,5.0,5.0
16,5.0,1 month,Less than 2 months,White gum,"I like it so much, the tester snd flavors are wonderful.",4.0,3.0,5.0
17,2.0,1 month,Less than 2 months,Tropical,Ran out fast,4.0,4.0,3.0
18,5.0,1 month,Less than 2 months,Tricy,Very smooth smoke I love them,5.0,5.0,5.0
19,4.0,1 month,Less than 2 months,Very good,"I like these more so than the elf bars, but that might be due to the very icy flavor I have. I will definitely be buying these again.",5.0,4.0,4.0
20,5.0,1 month,Less than 2 months,Review,Great product,5.0,4.0,4.0
21,5.0,1 month,Less than 2 months,Long lasting,Flavor is good,4.0,3.0,5.0
22,5.0,1 month,Less than 2 months,Great size and flavor,One of the best tasting vapes you could try,5.0,5.0,4.0
23,3.0,2 months,Less than 2 months,Island Colada,It’s okay. A bit too minty for me. I’ll stick to my elf bars.,3.0,3.0,4.0
24,5.0,2 months,Less than 2 months,Cheaper vape with great quality,I love that it is rechargeable and it did last longer than some of the other brands,5.0,5.0,5.0
25,5.0,2 months,Less than 2 months,Cutest disposable,"This is so cute and small, I definitely loose it all the time. But it tastes amazing like the original daze",5.0,5.0,3.0
26,5.0,2 months,Less than 2 months,Love these!,"These are great! Tried so many, I've had trouble finding flavors that aren't sooo sweet. The melonana is perfect! You do have to charge them occasionally but they charge quickly. Highly recommend !",5.0,3.0,5.0
27,3.0,2 months,Less than 2 months,Strawberry,"Flavor is muted and has an aftertaste similar to fruity toothpaste. Nic is strong enough to curb cravings. Fits in hand nicely. No throat hit, even in the beginning.",3.0,4.0,4.0
28,5.0,2 months,Less than 2 months,grapple aloe,"this by far is has been the best vape I have purchased, it hits medium, the flavors very tasteful, and I have not got bored of the taste,and the vape doesn't linger in your mouth or throat like others seam to .I'd give 10 stars if I could.",5.0,3.0,5.0
29,5.0,2 months,Less than 2 months,MangoBerry,I really liked the mango berry combination.,5.0,4.0,4.0
30,5.0,2 months,Less than 2 months,Good,Yummy,5.0,4.0,5.0
31,4.0,2 months,Less than 2 months,Yeahhhhh buddy,This is pretty alright. Got a little gross at the end but all good!,4.0,4.0,4.0
32,5.0,2 months,Less than 2 months,Long last,Last so long,5.0,5.0,5.0
33,5.0,2 months,Less than 2 months,Cake pop,I love the cake pop desert type flavor. It’s my favorite and the ONLY thing I will smoke!!!!! Plus they last a really long time!! You should definitely try it if you like sweet dessert type flavors,5.0,3.0,5.0
34,5.0,2 months,Less than 2 months,Excellent,Great taste,5.0,3.0,5.0
35,5.0,2 months,Less than 2 months,My favorite,This is the best lemon flavored vape I’ve found,5.0,4.0,4.0
36,4.0,2 months,Less than 2 months,Ugly design but good flavor,"Friends call it my ""pokeball,"" wish it were even MORE pokeball shaped. Awkward design, decent flavor. Like smarties.",5.0,3.0,4.0
37,5.0,3 months,3 months to 5 months ago,Good,Good,5.0,2.0,5.0
38,5.0,3 months,3 months to 5 months ago,Good flavor,Really like this flavor,5.0,4.0,5.0
39,3.0,3 months,3 months to 5 months ago,OG Reds Ice,Loved the flavor but it didn't last long. It also wouldn't hold a charge for long. I had to keep recharging.,5.0,5.0,2.0
40,3.0,3 months,3 months to 5 months ago,Lemon,It was ok overall,3.0,3.0,3.0
41,5.0,3 months,3 months to 5 months ago,Awesome,I would recommend this product,5.0,4.0,4.0
42,5.0,3 months,3 months to 5 months ago,Watermelon is bomb,Love every flavor so far,5.0,5.0,5.0
43,5.0,3 months,3 months to 5 months ago,Love these little vapes,Great flavor,5.0,4.0,4.0
44,5.0,3 months,3 months to 5 months ago,Pretty mid-tier,"It’s not bad, but it’s not good either. Flavor is barely there and it tastes off after hitting it back-to-back. I immediately tossed it when I gave up on this particular one",3.0,2.0,2.0
45,3.0,3 months,3 months to 5 months ago,Cool,Cool,3.0,3.0,2.0
46,5.0,3 months,3 months to 5 months ago,It is good,Ok,5.0,4.0,5.0
47,3.0,3 months,3 months to 5 months ago,Fruit Punch and White Gummy,"These weren’t so good. I have yet to try cake pop and not sure if I should. Both flavors were off. Had a weird taste and feel in the mouth, similar to hyppe cotton clouds- tip- clouds in the name means it’s more like an ice cream flavor. White Gummy is a better option. Still looking for a good fruit punch 🤛",3.0,3.0,4.0
48,5.0,3 months,3 months to 5 months ago,Always enjoyable,I'm honestly never disappointed. Will continue to buy from Huff & Puffers,5.0,5.0,4.0
49,5.0,3 months,3 months to 5 months ago,Good bang for your buck,Great price and long lasting. Tastes good too!,5.0,5.0,5.0
50,5.0,3 months,3 months to 5 months ago,Watermelon iced,Perfect little vape. I love this flavor and this product is just perfect I'm so glad I decided to give it a try.,5.0,4.0,5.0
51,5.0,3 months,3 months to 5 months ago,Love it,I love it,5.0,5.0,5.0
52,5.0,3 months,3 months to 5 months ago,Glacial mint review,Excellent,5.0,3.0,4.0
53,4.0,3 months,3 months to 5 months ago,Great flavors!,Last long and doesn't need much charging! Tastes just like the e juice flavors!,5.0,4.0,5.0
54,5.0,3 months,3 months to 5 months ago,Long lasting!,"You wouldn’t expect it, but this lil sucker will last a long time!(depending on how you use it) White Gummy is really good.. I have purchased this one several times",5.0,3.0,5.0
55,5.0,3 months,3 months to 5 months ago,Great,Mango berry is my favorite flavor,5.0,3.0,4.0
56,5.0,3 months,3 months to 5 months ago,Good,Taste and flow,4.0,4.0,4.0
57,4.0,3 months,3 months to 5 months ago,Cake pop,"Very long lasting, works very well with full charge. Nice and compact. Great if you don't like strong flavor. Very subtle vanilla cake flavor, not very sweet or over powering. Flavor does get a bit chalky.",4.0,2.0,5.0
58,5.0,3 months,3 months to 5 months ago,White Gummi,Good flavor that keeps going and going and going!,4.0,4.0,5.0
59,5.0,3 months,3 months to 5 months ago,A+,I love the sweetness and acidity flavor it brings! Surprisingly the vape lasts longer,5.0,5.0,5.0
60,5.0,4 months,3 months to 5 months ago,Great flavor,Love the flavor and long lasting. My favorite brand,5.0,5.0,5.0
61,5.0,4 months,3 months to 5 months ago,Love this brand,"The only brand I will buy, love the flavors and lasts long!",5.0,5.0,5.0
62,5.0,4 months,3 months to 5 months ago,Good,Good,5.0,4.0,4.0
63,5.0,4 months,3 months to 5 months ago,Great vape!,"I love this brand of Vape! The tastes are great, and they don’t burn out after charging. Highly recommend for the price",5.0,5.0,5.0
64,2.0,4 months,3 months to 5 months ago,Tropical passion,Really wasn’t a huge fan of the flavor,1.0,2.0,3.0
65,4.0,4 months,3 months to 5 months ago,Good taste,"Good taste, a bit of apple in the beginning with some ice at the end. Doesn’t last long.",4.0,3.0,2.0
66,5.0,4 months,3 months to 5 months ago,Redd OG,"Loved this flavor. Smooth apple taste with a good ""iced"" mix.",5.0,4.0,5.0
67,5.0,4 months,3 months to 5 months ago,Flavorful when you find your niche,Lasts a while so it's good . Will buy again,5.0,5.0,5.0
68,4.0,4 months,3 months to 5 months ago,Smooth,"Smooth hit, nice and compact",4.0,3.0,4.0
69,5.0,4 months,3 months to 5 months ago,I like,I like it hits perfect,5.0,5.0,5.0
70,5.0,4 months,3 months to 5 months ago,Better,Better product,5.0,5.0,5.0
71,5.0,4 months,3 months to 5 months ago,White gummy,Best flavor I've tried so far,5.0,4.0,5.0
72,5.0,5 months,5 months to 1 year ago,Yummy!,It delicious and smoothe.,5.0,4.0,5.0
73,5.0,5 months,5 months to 1 year ago,Bomb,Bussin,5.0,5.0,5.0
74,5.0,5 months,5 months to 1 year ago,Bomb,Bussin,5.0,5.0,5.0
75,4.0,5 months,5 months to 1 year ago,Punch Bowl,"Not bad! Love how cute and tiny the Daze Egg is! The flavors are pretty good, just wish they would last a bit longer and hit a bit harder",4.0,3.0,3.0
76,5.0,5 months,5 months to 1 year ago,RECHARGABLE DISPOSABLE.,Need I say more.,5.0,4.0,5.0
77,5.0,5 months,5 months to 1 year ago,Great,"Great flavor, lasts a long time",5.0,5.0,5.0
78,4.0,5 months,5 months to 1 year ago,White Gummy,I was impressed with the flavor and how long it lasted. Hardly charged it.,4.0,4.0,5.0
79,4.0,5 months,5 months to 1 year ago,Not bad,The iciness isn't as strong in these Egge disposables as others I've tried but the flavor is otherwise good if you enjoy candied flavors versus emulated real fruit flavors.,4.0,4.0,4.0
80,5.0,5 months,5 months to 1 year ago,Best dessert flavor dispose of all I have ever tried,Love them I have tried many flavor disposable and this one has the smoothest and most flavorful to me at least for those that like dessert flavors.,5.0,5.0,4.0
81,5.0,5 months,5 months to 1 year ago,Great,Best flavor,5.0,5.0,5.0
82,5.0,5 months,5 months to 1 year ago,White Gummy,My fave disposable vape. Great flavor!,5.0,5.0,5.0
83,5.0,5 months,5 months to 1 year ago,Great taste and Hit,"Daze egge has the best flavor and hit, only downside the flavor dies out quickly",5.0,5.0,3.0
84,3.0,5 months,5 months to 1 year ago,Intense,"The flavor is very strong, somewhat overpowering.",3.0,2.0,5.0
85,4.0,5 months,5 months to 1 year ago,Wide variety of flavors,So many tasty flavors and rechargeable!,4.0,4.0,3.0
86,3.0,5 months,5 months to 1 year ago,its ok,its alright tbh flavor is very weak,,,
87,5.0,5 months,5 months to 1 year ago,Solid,These short fatties are great. Hits smooth and flavor is great.,,,
88,3.0,5 months,5 months to 1 year ago,Decent.,"I like the style and feel of the vape. Didn't really like the flavor I got which was punch bowl or tropical punch, something along those lines. Good air flow and good quality I just didn't like the flavor.",,,
89,5.0,5 months,5 months to 1 year ago,Love it!!!,Love this vape it is so good!,,,
90,5.0,5 months,5 months to 1 year ago,Great,Great!,,,
91,4.0,5 months,5 months to 1 year ago,Love the Island Colada and White Gummy,"I've tried two of these little guys so far -- in white gummy, and island colada. I thought the latter could've been a bit stronger in flavor but I thought both were surprisingly delicious and enjoyed the flavors. Even though they have fewer puffs than Elf Bars, these usually last the same amount of time if not slightly longer than those for me. And they're several dollars cheaper, so this is a new go-to brand for me. I'm looking forward to trying the cake pop flavor.",,,
92,5.0,5 months,5 months to 1 year ago,"Cute, yummy, and long lasting!","Flavors are light, but still noticeable, and not too sweet or dense. I usually like to switch up between strong and light flavors from time to time, so I really like how airy this one is.
USB-C rechargeable is the ultimate plus and charges quick, and this vape definitely lasts longer than it looks.
My favorites are the Grapple Aloe and Strapple Ice if you’re looking for something fruity, but not too decadent like dessert flavors.
Also a big fan of the Glacial Mint if you want a light pallet cleanser if you’re already into mint flavors.",,,
93,4.0,5 months,5 months to 1 year ago,Pretty good,Very cute! Not the most flavorful but not bad for the price,,,
94,5.0,5 months,5 months to 1 year ago,Hits 👍,"Sheeeeeeeeeesh,love it",,,
95,5.0,5 months,5 months to 1 year ago,Daze Egge,Great product for a great price,,,
96,5.0,6 months,5 months to 1 year ago,Great,"These are my go too’s. Small, easy, and convenient. Great flavor matched with fast rechargeable batteries. I switched from Flume’s to these and love them.",,,
97,5.0,6 months,5 months to 1 year ago,Good,Very nice,,,
98,5.0,6 months,5 months to 1 year ago,Love that this is chargeable,"Lasted a while for me, convient and good flavor! Will buy more!",,,
99,5.0,6 months,5 months to 1 year ago,My go to,My go to disposable vape.,,,
